segment_id, start_idx, end_idx_exclusive, start_time, end_time , duration_seconds  , frame_count, movement_state_v3, head_state_v3     , hand_state_v3    , higher_level_inference_v3, ped_behavior_phrase_v3                                                     , mean_speed          , mean_accel           , mean_head_body_yaw_diff_abs, max_head_turn_rate_abs, mean_hand_activity_speed, mean_hesitation_score_v3, mean_yield_score_v3, hesitating_frames, yield_candidate_frames, committed_crossing_frames
         1,         0,                47,   0.0     ,  2.141113, 2.188721          ,          47, stopped          , head_forward      , hands_quiet      , waiting                  , stopped + waiting                                                          , 0.024202162695946983, 0.020542720215432127 ,         0.9415594872008052 ,    26.454341887153195 ,      0.1619256963161286 ,       35.95744680851064 , 35.0               ,                 0,                      0,                         0
         2,        47,                67,   2.187744,  3.035156, 0.8950200000000006,          20, stopped          , turning_head_left , both_hands_motion, hesitating               , stopped + turning_head_left + both_hands_motion + possible_hesitation      , 0.11897415223113277 , 0.0041629842061231435,        10.101122283935556  ,   136.52877740947994  ,      0.88924718185411   ,       60.0              , 60.0               ,                20,                      0,                         0
         3,        67,                95,   3.089844,  4.32373 , 1.2814940000000008,          28, near_stopped     , turning_head_right, both_hands_motion, hesitating               , near_stopped + turning_head_right + both_hands_motion + possible_hesitation, 0.16479531613622117 , -0.021870409182557737,         4.925095694405696  ,   149.28007397723908  ,      0.5808653900810209 ,       58.392857142857146, 60.0               ,                19,                      0,                         0
         4,        95,               112,   4.373535,  5.143066, 0.8171390000000001,          17, stopped          , head_forward      , hands_quiet      , waiting                  , stopped + waiting                                                          , 0.12611182657233302 , -0.003321841438862421,         2.077616074505981  ,    47.81168972115186  ,      0.3023282739042181 ,       39.705882352941174, 40.88235294117647  ,                 0,                      0,                         0
         5,       112,               128,   5.192139,  5.904541, 0.7600100000000003,          16, stopped          , turning_head_right, both_hands_motion, hesitating               , stopped + turning_head_right + both_hands_motion + possible_hesitation     , 0.11021382200497064 , 0.0004692952094879245,         4.503745079040527  ,    58.9237603305352   ,      0.5747218520256308 ,       60.0              , 60.0               ,                16,                      0,                         0
         6,       128,               146,   5.952393,  6.781006, 0.8762210000000001,          18, stopped          , turning_head_left , both_hands_motion, hesitating               , stopped + turning_head_left + both_hands_motion + possible_hesitation      , 0.08349722664764944 , -0.05078329483436606 ,         4.138769361707895  ,    81.33346830837912  ,      0.49402050619801663,       55.55555555555556 , 54.44444444444444  ,                14,                      0,                         0
         7,       146,               188,   6.830811,  8.879639, 2.0964359999999997,          42, stopped          , head_forward      , hands_quiet      , waiting                  , stopped + waiting                                                          , 0.08403111862720086 , 0.12107044331316456  ,         1.0134640648251516 ,    57.17326516914417  ,      0.1894725565975149 ,       33.214285714285715, 33.80952380952381  ,                 0,                      0,                         0
         8,       188,               204,   8.93042 ,  9.629395, 0.7465830000000011,          16, speeding_up      , turning_head_right, both_hands_motion, checking_vehicle         , speeding_up + turning_head_right + both_hands_motion + checking_vehicle    , 0.5948801674628816  , 0.3366725765873389   ,         3.388507843017578  ,    84.63764315253864  ,      0.6681327986091166 ,       25.0              , 25.0               ,                 0,                      0,                         0
         9,       204,               279,   9.67627 , 13.07373 , 3.445067999999999 ,          75, steady_walking   , head_forward      , both_hands_motion, committed_crossing       , steady_walking + both_hands_motion + committed_crossing                    , 0.9175665202219502  , 0.051696285491841014 ,         1.2553804524739596 ,    34.28467732189255  ,      0.9967134676750086 ,        5.0              ,  0.0               ,                 0,                      0,                        75
        10,       279,               303,  13.12085 , 14.158691, 1.0854489999999988,          24, speeding_up      , turning_head_left , both_hands_motion, checking_vehicle         , speeding_up + both_hands_motion + committed_crossing                       , 1.0551543068493612  , 0.429971509525716    ,         4.008838653564457  ,    99.1273826944839   ,      1.1197327114531035 ,       15.833333333333334, 13.541666666666666 ,                 0,                      0,                        11
        11,       303,               347,  14.206299, 16.265381, 2.106690000000002 ,          44, steady_walking   , head_forward      , both_hands_motion, committed_crossing       , steady_walking + both_hands_motion + committed_crossing                    , 1.391138881809634   , -0.06089110907108692 ,         1.6948946172540837 ,    34.765986666676646 ,      1.5202167507296307 ,        5.909090909090909,  0.6818181818181818,                 0,                      0,                        42
        12,       347,               366,  16.312988, 17.114746, 0.8493659999999998,          19, steady_walking   , turning_head_right, both_hands_motion, checking_vehicle         , steady_walking + turning_head_right + both_hands_motion + checking_vehicle , 1.3646106142764431  , 0.0                  ,         5.973921926398027  ,   105.43766399869197  ,      1.5957520856579823 ,       25.0              , 25.0               ,                 0,                      0,                         0
        13,       366,               382,  17.157471, 17.853027, 0.7431640000000002,          16, steady_walking   , turning_head_left , both_hands_motion, checking_vehicle         , steady_walking + turning_head_left + both_hands_motion + checking_vehicle  , 1.2418727957658822  , -0.10670629775322044 ,         4.306042671203613  ,    92.7682085257235   ,      1.4468227255612955 ,       27.5              , 26.25              ,                 0,                      0,                         0
        14,       382,               400,  17.898926, 18.691895, 0.8405769999999997,          18, slowing_down     , head_forward      , both_hands_motion, uncertain_crossing       , slowing_down + both_hands_motion                                           , 1.1597865678159678  , -0.38042369540107895 ,         1.532470703125     ,    31.759296029262998 ,      1.4324537142858988 ,       45.0              , 15.0               ,                 0,                      0,                         0
        15,       400,               480,  18.737793, 22.665039, 3.9748540000000006,          80, steady_walking   , head_forward      , both_hands_motion, committed_crossing       , steady_walking + both_hands_motion + committed_crossing                    , 1.042939521355164   , -0.05031748147638485 ,         0.6824666976928654 ,    28.377687561889353 ,      1.2644640951759905 ,        6.0              ,  0.75              ,                 0,                      0,                        76
        16,       480,               496,  22.717529, 23.442383, 0.7724620000000009,          16, steady_walking   , turning_head_left , both_hands_motion, checking_vehicle         , steady_walking + turning_head_left + both_hands_motion + checking_vehicle  , 0.47000405948773266 , -0.17107309164659845 ,         5.5203495025634854 ,   136.18833512587796  ,      0.8851876883368133 ,       27.5              , 26.875             ,                 0,                      0,                         0
