"pednyc","scenario","source_path","destination_path","file_size_bytes","copy_status"
"PedNYC1","101","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-101_Session-temp_2024-02-22-13-58-23_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario101\decoded_clean_PedNYC1_scenario101.csv","18200590","copied"
"PedNYC1","102","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-102_Session-temp_2024-02-22-14-03-29_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario102\decoded_clean_PedNYC1_scenario102.csv","14892165","copied"
"PedNYC1","103","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-103_Session-temp_2024-02-22-14-05-41_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario103\decoded_clean_PedNYC1_scenario103.csv","14565522","copied"
"PedNYC1","104","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-104_Session-temp_2024-02-22-14-01-04_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario104\decoded_clean_PedNYC1_scenario104.csv","14893409","copied"
"PedNYC1","105","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-105_Session-temp_2024-02-22-14-07-56_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario105\decoded_clean_PedNYC1_scenario105.csv","13325544","copied"
"PedNYC1","106","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-106_Session-temp_2024-02-22-13-33-36_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario106\decoded_clean_PedNYC1_scenario106.csv","33838618","copied"
"PedNYC1","12","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-12_Session-temp_2024-02-22-13-46-30_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario12\decoded_clean_PedNYC1_scenario12.csv","11458645","copied"
"PedNYC1","15","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-15_Session-temp_2024-02-22-13-40-39_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario15\decoded_clean_PedNYC1_scenario15.csv","18383299","copied"
"PedNYC1","16","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-16_Session-temp_2024-02-22-13-43-46_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario16\decoded_clean_PedNYC1_scenario16.csv","12930968","copied"
"PedNYC1","21","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-21_Session-temp_2024-02-22-13-55-32_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario21\decoded_clean_PedNYC1_scenario21.csv","16757845","copied"
