window_id,mid_time,pca_1,pca_2,cluster_id,reconstruction_error
0,0.682373,-21.296137,21.780384,2,0.031410713
1,0.912109,-21.261776,22.402414,2,0.020247255
2,1.14917,-21.098192,23.119642,2,0.01972243
3,1.385986,-20.913752,23.662731,2,0.019989341
4,1.623291,-20.577759,24.34506,2,0.02327549
5,1.859619,-19.348022,25.626665,2,0.030736746
6,2.094727,-17.274527,29.386244,2,0.04001217
7,2.330566,-16.278994,31.56777,2,0.045162268
8,2.562988,-15.601359,30.369436,2,0.058196776
9,2.776367,-15.952971,26.094318,2,0.06128701
10,2.994385,-16.603731,19.327047,2,0.060088214
11,3.213867,-18.134212,11.092418,2,0.05596563
12,3.431152,-18.769232,2.9304857,0,0.046951175
13,3.653809,-19.74836,-1.4958026,0,0.044402186
14,3.886719,-20.07487,-3.7105825,0,0.01973937
15,4.12915,-18.506111,-3.2490556,0,0.023104576
16,4.373535,-17.520723,-2.8815935,0,0.016255267
17,4.614014,-17.036362,-2.4584105,0,0.019912034
18,4.856445,-16.709486,-1.7021372,0,0.02323497
19,5.095215,-16.92774,-2.1079779,0,0.029190676
20,5.331055,-16.693144,-2.7101543,0,0.034692816
21,5.571777,-15.920013,-3.4204118,0,0.04225553
22,5.806885,-14.373579,-3.7431703,0,0.04204797
23,6.052979,-12.615661,-3.8679736,0,0.041829232
24,6.292969,-11.009076,-3.677938,0,0.03944293
25,6.536621,-9.36311,-3.3176656,0,0.03284923
26,6.781006,-8.736435,-3.3855078,0,0.024812305
27,7.0271,-9.004287,-3.862698,0,0.02536754
28,7.28418,-9.44426,-4.625033,0,0.020153427
29,7.534424,-9.509736,-5.6751194,0,0.018238313
30,7.779541,-9.471754,-7.208579,0,0.02132367
31,8.02832,-10.035003,-8.683109,0,0.02731713
32,8.282227,-10.651008,-9.576894,0,0.027248051
33,8.526123,-11.642638,-10.762535,0,0.03358894
34,8.781006,-12.849376,-11.909467,0,0.033036422
35,9.023682,-14.032888,-12.686299,0,0.040806577
36,9.258789,-14.8298855,-12.93124,0,0.03993064
37,9.488037,-15.077624,-12.519782,0,0.036919065
38,9.722412,-15.449146,-11.7472105,0,0.035320766
39,9.958984,-15.1211815,-11.051137,0,0.04508527
40,10.193604,-14.788974,-10.473635,0,0.0497926
41,10.426025,-14.265587,-10.027216,0,0.045587555
42,10.657227,-13.808777,-9.888387,0,0.045929678
43,10.876465,-13.319646,-10.102586,0,0.048253454
44,11.096436,-12.318763,-10.600656,0,0.10602701
45,11.319824,-11.312767,-11.22753,0,0.10538624
46,11.552002,-10.474972,-11.726271,0,0.12120517
47,11.782715,-10.113411,-11.980804,0,0.13475718
48,12.019043,-9.843546,-11.687835,0,0.13211854
49,12.247803,-9.732678,-10.989277,0,0.12669171
50,12.477539,-9.831061,-10.028075,0,0.08155239
51,12.702881,-10.7813425,-8.370947,0,0.12297183
52,12.934814,-13.154906,-5.4370356,0,0.16923596
53,13.166504,-15.174469,-2.602627,0,0.17065524
54,13.390625,-15.367966,-0.5901926,0,0.20174697
55,13.607422,-14.499291,0.17473984,0,0.21560529
56,13.828125,-11.6175995,0.041619293,3,0.22481377
57,14.0625,-7.868917,-1.0079554,3,0.1953296
58,14.301758,-4.1632347,-2.4020078,3,0.15570797
59,14.544678,-1.906052,-3.5084233,3,0.1505686
60,14.783447,-1.2208203,-4.6972785,3,0.113617726
61,15.016846,-0.7178817,-5.222761,3,0.1200316
62,15.265381,0.0068061496,-5.6687813,3,0.12361204
63,15.505859,0.6005233,-5.8333154,3,0.14753266
64,15.740723,1.0911884,-6.204659,3,0.1403756
65,15.981445,1.2332164,-6.720401,3,0.14867316
66,16.219727,1.0031098,-6.92879,3,0.15337175
67,16.45459,0.5336641,-7.065154,3,0.11293031
68,16.678711,0.04192298,-7.3504715,3,0.101497434
69,16.895508,0.012573095,-8.365713,3,0.16986515
70,17.114746,0.12811187,-8.800045,3,0.16176987
71,17.335205,0.72564155,-8.687096,3,0.21484873
72,17.581543,1.9173377,-7.996278,3,0.21184832
73,17.808105,3.6748738,-7.372395,3,0.21908845
74,18.039795,5.1488037,-7.1938324,3,0.2543937
75,18.27002,5.830283,-7.059941,3,0.18808608
76,18.501709,5.606574,-7.322264,3,0.1623311
77,18.737793,4.979925,-6.972715,3,0.15111957
78,18.972168,4.2553735,-5.9718103,3,0.14184642
79,19.207275,4.2973948,-4.731751,3,0.118822664
80,19.446289,4.869009,-3.884974,3,0.07939599
81,19.688965,6.0694957,-3.5759087,3,0.07108559
82,19.94043,7.5829387,-4.0273247,3,0.056138474
83,20.192871,9.090625,-4.576032,3,0.02740413
84,20.446289,10.171551,-4.9622507,3,0.022862857
85,20.705566,11.101245,-5.288005,3,0.021302193
86,20.958008,11.940933,-5.658232,3,0.019441139
87,21.208984,12.706939,-6.012825,3,0.017542286
88,21.453125,13.28059,-6.48145,3,0.01967257
89,21.695313,13.69805,-7.088215,3,0.024185136
90,21.94751,13.922697,-7.8706875,3,0.033061042
91,22.200684,14.200945,-8.592492,3,0.03980571
92,22.455811,15.212399,-7.8514247,3,0.04474994
93,22.717529,16.225668,-5.0840235,3,0.049941264
94,22.980225,16.250114,-0.391775,3,0.04843987
95,23.224121,15.448734,5.605415,1,0.0566873
96,23.442383,14.860612,13.259226,1,0.0566053
97,23.65918,13.776124,21.136063,1,0.06053306
98,23.889648,13.025184,27.66141,1,0.05046983
99,24.108154,12.488103,32.63747,1,0.05512586
100,24.323486,12.465089,36.081432,1,0.052314244
101,24.530762,12.718125,37.821144,1,0.046751898
102,24.754395,14.04527,37.49195,1,0.05045287
103,24.974609,16.498823,35.816372,1,0.053837255
104,25.198242,19.366322,31.244139,1,0.053624753
105,25.426758,22.166826,25.14669,1,0.060257565
106,25.676025,24.688852,18.289646,1,0.058777332
107,25.93335,26.585478,11.5383215,4,0.058694378
108,26.196777,27.577456,5.4631453,4,0.055580653
109,26.459961,28.054869,0.94292057,4,0.05063195
110,26.724609,28.70707,-1.9748526,4,0.048980825
111,26.987305,29.38212,-3.4363606,4,0.04335339
112,27.247559,30.164425,-4.2350388,4,0.03783595
113,27.511963,30.899542,-5.0277233,4,0.03600635
114,27.775879,31.271482,-6.4921103,4,0.03334615
115,28.034668,30.959826,-8.635923,4,0.030615143
116,28.294678,30.034472,-10.490197,4,0.031889092
117,28.555908,28.696192,-11.208087,4,0.027777357
118,28.816162,26.06241,-11.913854,4,0.02457704
119,29.07959,22.828358,-11.849821,4,0.026886977
120,29.343018,19.528927,-11.113781,4,0.02796968
121,29.60376,16.373653,-9.20049,4,0.026243035
122,29.860596,13.83437,-6.794995,4,0.02921195
123,30.124756,11.827613,-4.5532246,4,0.048675634
