window_id,mid_time,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
0,0.682373,0.0,0.0,0.0,20.841614,9.377784,0.0,0.0,20.008163,0.0,8.5975685,14.10604,0.0,11.723074,0.0,1.4156901,34.95465
1,0.912109,0.0,0.0,0.0,20.145792,9.266792,0.0,0.0,20.09918,0.0,8.2598295,14.525744,0.0,12.350232,0.0,0.96769184,35.520596
2,1.14917,0.0,0.0,0.0,18.561508,9.133494,0.0,0.0,19.91007,0.07864542,7.850363,15.334065,0.0,13.2194605,0.7098002,0.33244815,35.906654
3,1.385986,0.0,0.0,0.0,16.800564,8.993775,0.0,0.0,19.566534,0.30377597,7.328746,16.044931,0.0,14.073104,1.6662475,0.0,36.13638
4,1.623291,0.0,0.0,0.0,14.983589,8.802209,0.0,0.0,19.185915,0.60237956,6.6632957,16.620777,0.7367235,14.797575,2.6557183,0.0,36.17556
5,1.859619,0.0,0.0,0.0,12.069673,7.8048735,0.025397994,0.0,18.727089,1.0837344,6.0728207,17.887684,2.588961,14.378341,4.6518145,0.0,35.47381
6,2.094727,0.0,0.0,0.0,8.364891,3.524834,0.0,0.0,17.91169,1.5525719,6.2976546,21.02127,8.171683,10.823629,10.7463875,0.0,34.833435
7,2.330566,0.0,0.0,6.438803,5.715055,0.0120503465,0.0,0.0,17.289026,1.9919876,6.773596,22.76197,12.490584,7.393428,15.627532,0.0,33.328552
8,2.562988,0.0,0.0,14.316175,4.1497107,0.0,0.0,0.0,16.407413,3.843062,6.49134,22.023502,14.182974,4.2645106,18.923405,0.0,29.61977
9,2.776367,0.0,0.0,23.612467,4.653597,0.0,0.0,0.0,14.3285885,6.535279,5.1797004,18.35532,14.332197,2.7609303,22.33171,0.0,24.66207
10,2.994385,0.0,1.1632035,30.301825,6.895159,0.0,0.0,0.0,11.688623,8.927314,3.0905938,12.059556,12.605265,3.83729,24.530766,0.0,19.841063
11,3.213867,0.0,0.0,30.091454,9.788053,0.0,0.0,0.0,8.985399,10.5905075,0.8030365,4.0575557,7.873852,7.80337,23.068516,0.0,16.214233
12,3.431152,0.0,0.0,26.602016,11.537031,4.014809,0.0,1.8920946,5.70275,12.308415,0.0,0.0,2.2841957,11.624892,19.866598,0.0,11.988587
13,3.653809,0.0,0.0,22.353493,12.1187525,6.800238,0.0,5.4128685,2.3740528,11.522598,0.0,0.0,0.0,14.486201,17.988506,0.0,10.258394
14,3.886719,0.0,0.0,17.101454,11.323252,8.945961,0.25349772,7.7604003,0.0,9.781549,0.0,0.0,0.0,16.202784,16.933464,0.0,9.974076
15,4.12915,0.0,0.0,11.24029,9.175785,9.328341,1.6966553,7.8031783,0.0,7.4200063,0.2423241,0.0,1.3471124,15.344333,15.875341,0.0,11.044774
16,4.373535,0.0,0.0,6.628248,7.315206,9.298002,2.7024317,7.580332,0.0,5.3684397,2.1769452,0.0,3.0159872,14.034523,15.092731,1.8625565,11.953851
17,4.614014,0.0,0.0,3.8619745,6.262252,9.362472,3.2176058,7.635217,0.0,3.998826,3.7392566,0.5590633,4.2880044,13.014889,14.738574,3.6180983,12.41102
18,4.856445,0.0,0.0,2.2397919,5.6859345,9.466311,3.4480877,7.891478,0.0,3.0745645,4.9798827,2.1791763,5.1795397,12.255874,14.599329,4.994739,12.519564
19,5.095215,0.0,0.0,2.504403,5.7286625,9.867646,3.4087524,8.508572,0.0,2.8974009,5.572682,2.1613185,5.3903656,12.03562,14.696526,5.6903777,11.943018
20,5.331055,0.0,0.0,2.4547,5.417478,10.471627,3.5824473,9.011828,0.0,2.584323,6.1069336,1.8428814,5.837424,11.864785,14.693665,5.599806,10.79907
21,5.571777,0.0,0.0,2.1471014,4.958151,11.010154,4.0870214,9.039127,0.0,2.3025446,6.582183,1.2091149,6.384098,12.018461,14.52983,4.205359,9.149157
22,5.806885,0.0,0.0,1.8585815,3.9726257,11.365152,5.436784,8.320644,0.0,1.7795426,7.3205824,1.0791225,7.3061957,12.071224,14.252216,1.9495802,7.260242
23,6.052979,0.0,0.0,1.1348459,2.8767242,11.537069,7.1049533,7.470268,0.0,1.4564056,8.049655,1.3616694,8.183952,12.046123,13.965519,0.25126162,5.5159454
24,6.292969,0.0,0.0,0.0,1.8424737,11.443174,8.856469,6.868798,0.0,1.5629889,8.559354,2.3457828,8.825111,11.836621,14.016076,0.0,4.255394
