participant_id,recording_identifier,scenario,pedestrian_entry_time,pedestrian_exit_time,vehicle_entry_time,vehicle_exit_time,reached_zone_first,entry_time_difference_seconds,passed_zone_first,exit_time_difference_seconds,occupancy_intervals_overlap,occupancy_overlap_duration_seconds,pedestrian_speed_at_entry_mps,vehicle_speed_at_entry_mps,pedestrian_minimum_approach_speed_mps,vehicle_minimum_approach_speed_mps,pedestrian_stopped_before_entry,vehicle_braked_before_entry,minimum_distance_m,minimum_distance_time,minimum_distance_aligned_time,distance_at_pedestrian_entry_m,distance_at_vehicle_entry_m,closing_rate_at_minimum_distance_mps,approach_state_at_minimum_distance,ttc_at_minimum_distance_seconds,pedestrian_entered_zone,vehicle_entered_zone,data_quality_flags
PedNYC11,PedNYC11_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,12.256025934654863,22.795898,10.273437,,,-0.012395358505500553,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC12,PedNYC12_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,11.49942596304243,23.011475,10.153809,,,0.01479456224191722,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC13,PedNYC13_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,16.948711644378022,15.693726,3.896485,,,0.07813281670911465,approaching,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC15,PedNYC15_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,9.80976024774302,22.549438,19.791992,,,-0.1328081866792985,separating,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC16,PedNYC16_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,13.960045082385403,20.466309,12.833558,,,-0.02673730068559621,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC18,PedNYC18_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,10.955664072694649,22.050537,12.20874,,,-0.10243235280719887,separating,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC19,PedNYC19_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,17.842892718850504,18.720703,5.791626000000001,,,0.026861921954321133,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC1,PedNYC1_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,14.262946234700232,19.883301,8.288573999999999,,,0.0802190787876782,approaching,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC20,PedNYC20_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,12.75692834814175,21.049072,9.083495999999998,,,-0.07891725811626316,separating,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC21,PedNYC21_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,6.920118641163627,33.833252,15.916992,,,-0.021259575501943573,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC22,PedNYC22_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,11.13294385949214,24.012695,11.500244,,,-0.026406115036991196,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC23,PedNYC23_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,14.259188209312162,16.340454,14.708984,,,-0.07846510289479625,separating,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC24,PedNYC24_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,12.831218160208486,22.297852,9.583526999999998,,,0.158240146385765,approaching,81.08699627291776,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC26,PedNYC26_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,11.12367060213714,30.844238,20.79248,,,-0.016540308673029358,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC28,PedNYC28_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,13.139125138178406,23.216064,8.041748,,,0.01529504116786029,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC29,PedNYC29_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,7.6514505427013795,28.875244,28.792969,,,-0.06090906560508813,separating,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC2,PedNYC2_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,12.571473223237753,24.081665,10.608643,,,-0.10434125285044615,separating,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC30,PedNYC30_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,10.050251452362803,35.054932,31.125733,,,0.01635480889726182,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC31,PedNYC31_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,7.3363150506406285,68.38501,61.41870099999999,,,-0.0013289271386014434,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC3,PedNYC3_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,13.261920954668104,25.392639,8.033386,,,-0.05641504313217638,separating,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC4,PedNYC4_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,13.70540261731453,18.559692,8.029418999999999,,,-0.12524683365528233,separating,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC5,PedNYC5_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,15.814485362229004,17.359619,5.485472999999999,,,0.20122933165217205,approaching,78.58936484251998,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC7,PedNYC7_scenario12_CSV_Scenario_Ped_12_Session_temp_2024_03_01_15_26_15_decoded,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,6.16751553305553,22.561768,17.229615000000003,,,0.01606863889696797,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC7,PedNYC7_scenario12_CSV_Scenario_Ped_12_Session_temp_2024_03_01_15_27_41_decoded,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,12.624348138764823,25.797913,10.676331,,,0.002613317605820953,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC8,PedNYC8_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,10.683486284871057,24.705811,12.307618000000002,,,-0.011952520668884858,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
PedNYC9,PedNYC9_scenario12,12,,,,,undefined,,undefined,,False,0.0,,,,,False,False,10.59544098579003,23.241699,11.274414,,,0.013218351808930606,approximately steady,,False,False,scenario_zone_not_geometrically_supported;pedestrian_never_entered_zone;vehicle_never_entered_zone
