micro_segment_id,macro_segment_id,macro_label,start_idx,end_idx,start_time_sec,end_time_sec,duration_sec,start_frame,end_frame,ScenarioTime_start_raw,ScenarioTime_end_raw,change_score_mean,change_score_max,speed_start,speed_end,speed_mean,speed_std,speed_min,speed_max,speed_slope,accel_start,accel_end,accel_mean,accel_std,accel_min,accel_max,accel_jerk_abs_mean,head_turn_rate_mean_abs,head_turn_rate_max_abs,head_body_yaw_diff_mean_abs,head_body_yaw_diff_max_abs,distance_start,distance_end,distance_mean,distance_min,distance_slope,distance_closing_mean,distance_change_mean,car_speed_mean,car_accel_mean,avatar_vr_gap_max,displacement_xz,path_length_xz,progress_ratio,speed_delta,speed_cv,speed_drop,speed_recovery,zero_velocity_duration_sec,distance_delta,motion_tag,head_tag,car_tag,motion_tag_type,head_tag_type,car_tag_type,has_inferred_behavior,motion_evidence,head_evidence,car_context_evidence,tagging_note,primary_evidence,supporting_evidence,columns_used,notes,plain_description,signals_used_for_boundaries
0,0,pre_movement_low_motion,0,28,0.0,1.475342,1.475342,215648,215731,0.0,1.475342,0.42416890936493384,1.7151268648664433,0.1940723324064736,0.2749159386751805,0.2115796281649141,0.05772364612493246,0.1111263130708587,0.3049787952864914,0.06177022485201733,0.129040981347304,0.0552347096690149,0.06391398836986811,0.1496723626605859,-0.1828971774349596,0.3155982431627049,0.03845721430514276,198.30645055369493,2594.590037005633,17.57285159209679,111.75550079345705,72.53381790266774,72.5682355254978,72.48400367948278,72.42763517744578,0.01188054980382744,-0.001002414001447412,0.001186814580346983,0.0002681025078119351,0.0003046801689570307,7.2891862201945505,0.05573949727844657,0.3187310655029587,0.17487939931581334,0.0808436062687069,0.2728223252190433,0.12361914439587,0.19385248221563273,0.0,0.034417622830062555,mixed_motion,head_active,neutral,inferred,observable,observable,True,motion did not match the stronger motion rules,"head turn mean 198.3, max 2594.6 deg/s",min distance 72.43 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"motion did not match the stronger motion rules | head turn mean 198.3, max 2594.6 deg/s | min distance 72.43 m","speed 0.19->0.27 m/s; mean 0.21, cv 0.27; accel min/max -0.18/0.32; distance 72.53->72.57 m; head max 2594.6 deg/s; progress ratio 0.17",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.19->0.27 m/s; mean 0.21, cv 0.27; accel min/max -0.18/0.32; distance 72.53->72.57 m; head max 2594.6 deg/s; progress ratio 0.17",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
1,0,pre_movement_low_motion,28,58,1.475342,2.916992,1.44165,215731,215801,1.475342,2.916992,0.07317407102109404,0.6038404140728849,0.2749159386751805,0.3743530515772615,0.3027616997239394,0.03717511931182148,0.2443376147624791,0.3743530515772615,0.021363751415118277,0.0552347096690149,-0.0957465497921264,0.02883874150342776,0.1284807231105931,-0.1832408824285308,0.2540119799651772,0.037781150940995,90.76199843174263,252.8460713793093,2.1270333566973267,7.412628173828182,72.5682355254978,72.72449500353066,72.63913962208207,72.5682355254978,0.08660284604419209,-0.005327427517573229,0.005385649518544654,0.03739612765362181,0.14979672484636747,7.1661813236233725,0.387878367885135,0.4402001469173197,0.8811409323722649,0.09943711290208102,0.12278673077115783,0.09768969603299651,0.13001543681478242,0.0,0.15625947803286522,speed_steady,head_active,neutral,observable,observable,observable,False,speed CV 0.12,"head turn mean 90.8, max 252.8 deg/s",min distance 72.57 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed CV 0.12 | head turn mean 90.8, max 252.8 deg/s | min distance 72.57 m","speed 0.27->0.37 m/s; mean 0.30, cv 0.12; accel min/max -0.18/0.25; distance 72.57->72.72 m; head max 252.8 deg/s; progress ratio 0.88",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.27->0.37 m/s; mean 0.30, cv 0.12; accel min/max -0.18/0.25; distance 72.57->72.72 m; head max 252.8 deg/s; progress ratio 0.88",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
2,0,pre_movement_low_motion,58,70,2.916992,3.439941,0.5229490000000001,215801,215825,2.916992,3.439941,0.9708447335097039,2.244577333794683,0.3743530515772615,0.0803166802231042,0.22713196117712758,0.10320518012000945,0.0803166802231042,0.3743530515772615,-0.6286510341942073,-0.0957465497921264,-0.1710929922106693,-0.3897954848605413,0.1579774729729681,-0.5972700092631678,-0.0957465497921264,0.07730837304362832,64.38996143229193,129.9435976552664,1.0660306490384506,1.8989562988280968,72.72449500353066,72.60700144269293,72.7012995600438,72.60700144269293,-0.21684548120005356,0.009094327759297891,-0.008445633384283722,0.41020193938453803,0.8708753020463664,6.821395988917377,0.11136101132302266,0.11149056668537465,0.998837970187042,-0.2940363713541573,0.45438422485827734,0.2940363713541573,0.0,0.08667000000000025,-0.11749356083772966,mixed_motion,head_active,neutral,inferred,observable,observable,True,motion did not match the stronger motion rules,"head turn mean 64.4, max 129.9 deg/s",min distance 72.61 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"motion did not match the stronger motion rules | head turn mean 64.4, max 129.9 deg/s | min distance 72.61 m","speed 0.37->0.08 m/s; mean 0.23, cv 0.45; accel min/max -0.60/-0.10; distance 72.72->72.61 m; head max 129.9 deg/s; progress ratio 1.00",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.37->0.08 m/s; mean 0.23, cv 0.45; accel min/max -0.60/-0.10; distance 72.72->72.61 m; head max 129.9 deg/s; progress ratio 1.00",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
3,0,pre_movement_low_motion,70,82,3.439941,3.973145,0.533204,215825,215849,3.439941,3.973145,0.23230020319849823,0.908643960349622,0.0803166802231042,0.1285600445343309,0.13007162845307044,0.025268768910853258,0.0803166802231042,0.1562636595415596,0.11147269812170416,-0.1710929922106693,-0.0401827689636379,0.017857803085886602,0.08360979319343424,-0.1710929922106693,0.124685580182855,0.0383872434616681,98.29088229987158,135.87829532371742,1.8193617600661058,4.0260009765625,72.60700144269293,72.02028736845335,72.34386706095958,72.02028736845335,-1.1199888266915698,0.04689864138314523,-0.047340745025586786,0.984800948059851,1.1998746158451528,6.860982830222098,0.0701800059853292,0.0716414896768613,0.979600037658009,0.048243364311226694,0.1942681060533518,0.0,0.0759469793184554,0.08789099999999994,-0.5867140742395804,near_stationary,head_active,neutral,observable,observable,observable,False,mean speed 0.13 m/s; min 0.08 m/s,"head turn mean 98.3, max 135.9 deg/s",min distance 72.02 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"mean speed 0.13 m/s; min 0.08 m/s | head turn mean 98.3, max 135.9 deg/s | min distance 72.02 m","speed 0.08->0.13 m/s; mean 0.13, cv 0.19; accel min/max -0.17/0.12; distance 72.61->72.02 m; head max 135.9 deg/s; progress ratio 0.98",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.08->0.13 m/s; mean 0.13, cv 0.19; accel min/max -0.17/0.12; distance 72.61->72.02 m; head max 135.9 deg/s; progress ratio 0.98",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
4,0,pre_movement_low_motion,82,99,3.973145,4.708008,0.7348630000000003,215849,215883,3.973145,4.708008,0.024020921248316042,0.22161412457133967,0.1285600445343309,0.2580004475783498,0.17343942236926296,0.04681300135382845,0.1227019306262601,0.2580004475783498,0.20178549204089513,-0.0401827689636379,0.0829146804912021,0.1278431716296364,0.09934059876354832,-0.0401827689636379,0.2467283491312348,0.02651322274911208,70.84690899470303,191.82428075044132,4.740215725368923,10.651596069335938,72.02028736845335,70.73941960654479,71.41713813597407,70.73941960654479,-1.740207421723497,0.07487606809347959,-0.07461931758637753,1.761865485061829,1.2443040258419342,6.860212891646566,0.08374858195979616,0.13193700553368307,0.6347618821651628,0.12944040304401888,0.26990980893698296,0.0075734521392992055,0.13529851695208966,0.0,-1.280867761908567,mixed_motion,head_active,neutral,inferred,observable,observable,True,motion did not match the stronger motion rules,"head turn mean 70.8, max 191.8 deg/s",min distance 70.74 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"motion did not match the stronger motion rules | head turn mean 70.8, max 191.8 deg/s | min distance 70.74 m","speed 0.13->0.26 m/s; mean 0.17, cv 0.27; accel min/max -0.04/0.25; distance 72.02->70.74 m; head max 191.8 deg/s; progress ratio 0.63",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.13->0.26 m/s; mean 0.17, cv 0.27; accel min/max -0.04/0.25; distance 72.02->70.74 m; head max 191.8 deg/s; progress ratio 0.63",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
5,0,pre_movement_low_motion,99,140,4.708008,6.727295,2.0192869999999994,215883,215981,4.708008,6.727295,0.5524890003698713,2.420466739696455,0.2580004475783498,0.0905235702615745,0.2090279603954053,0.06573324171895882,0.0905235702615745,0.332006567291397,0.015850361816274847,0.0829146804912021,-0.4393325694228478,-0.06946713744357583,0.2451377413583757,-0.5237869060990309,0.2731677323612438,0.042082590409960464,123.4072547045115,279.23275509250925,5.939816066196986,19.4129638671875,70.73941960654479,63.74443051890153,67.75018747322531,63.74443051890153,-3.5260876151598346,0.16839397539196824,-0.16876218761655265,3.43450638282126,1.1679440779801693,6.861148450940147,0.19705057142030366,0.43613536042422224,0.4518105829085621,-0.1674768773167753,0.3144710477709073,0.2414829970298225,0.0,0.041991999999999585,-6.994989087643255,mixed_motion,head_active,neutral,inferred,observable,observable,True,motion did not match the stronger motion rules,"head turn mean 123.4, max 279.2 deg/s",min distance 63.74 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"motion did not match the stronger motion rules | head turn mean 123.4, max 279.2 deg/s | min distance 63.74 m","speed 0.26->0.09 m/s; mean 0.21, cv 0.31; accel min/max -0.52/0.27; distance 70.74->63.74 m; head max 279.2 deg/s; progress ratio 0.45",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.26->0.09 m/s; mean 0.21, cv 0.31; accel min/max -0.52/0.27; distance 70.74->63.74 m; head max 279.2 deg/s; progress ratio 0.45",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
6,0,pre_movement_low_motion,140,175,6.727295,8.205322,1.4780270000000009,215981,216051,6.727295,8.205322,0.12488480411954025,1.0392542558190547,0.0905235702615745,0.0205721792751412,0.051996581988269334,0.018856764623122742,0.0205721792751412,0.0905235702615745,-0.033944635265732576,-0.4393325694228478,-0.0081709842832839,-0.0677602716944311,0.10605116388667686,-0.4393325694228478,0.0528531842964499,0.021665138005753728,21.56303310885002,59.04822877348767,2.7763998243543804,6.0780792236328125,63.74443051890153,56.20699973989935,60.08890654165274,56.20699973989935,-5.083335358042896,0.21536952734291226,-0.2149535548498317,5.129692655075569,0.7439671773899096,6.599313346404453,0.023630610769345906,0.0727305908862214,0.32490607434103297,-0.0699513909864333,0.3626539265095716,0.0699513909864333,0.0,1.519775000000001,-7.537430779002179,pausing,head_active,neutral,observable,observable,observable,False,speed < 0.10 m/s for 1.52 s,"head turn mean 21.6, max 59.0 deg/s",min distance 56.21 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed < 0.10 m/s for 1.52 s | head turn mean 21.6, max 59.0 deg/s | min distance 56.21 m","speed 0.09->0.02 m/s; mean 0.05, cv 0.36; accel min/max -0.44/0.05; distance 63.74->56.21 m; head max 59.0 deg/s; progress ratio 0.32",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.09->0.02 m/s; mean 0.05, cv 0.36; accel min/max -0.44/0.05; distance 63.74->56.21 m; head max 59.0 deg/s; progress ratio 0.32",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
7,1,acceleration,175,196,8.205322,9.121582,0.9162599999999994,216051,216093,8.205322,9.121582,0.35825383193527693,1.4031190193675251,0.0205721792751412,0.0990331276902413,0.050646054714638324,0.02085749238468477,0.0195716945956495,0.0990331276902413,0.06887008766872176,-0.0081709842832839,0.1403061306031621,0.06959046819498896,0.0389387309724656,-0.0081709842832839,0.1405569527640032,0.012988907037177713,28.910817955950403,62.51636329069099,1.8921203613281263,4.522994995117159,56.20699973989935,50.78016035630484,53.586047229258774,50.78016035630484,-5.929237996628923,0.2573249369000552,-0.25715078546619413,5.94015988395497,0.6407718996173878,6.590518010530481,0.040569574718810064,0.044591348028519495,0.9098082142047554,0.0784609484151001,0.4118285718839278,0.0010004846794917019,0.07946143309459179,0.9604490000000006,-5.426839383594512,pausing,head_active,neutral,observable,observable,observable,False,speed < 0.10 m/s for 0.96 s,"head turn mean 28.9, max 62.5 deg/s",min distance 50.78 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed < 0.10 m/s for 0.96 s | head turn mean 28.9, max 62.5 deg/s | min distance 50.78 m","speed 0.02->0.10 m/s; mean 0.05, cv 0.41; accel min/max -0.01/0.14; distance 56.21->50.78 m; head max 62.5 deg/s; progress ratio 0.91",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.02->0.10 m/s; mean 0.05, cv 0.41; accel min/max -0.01/0.14; distance 56.21->50.78 m; head max 62.5 deg/s; progress ratio 0.91",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
8,1,acceleration,196,231,9.121582,10.705322,1.5837400000000006,216093,216163,9.121582,10.705322,0.27275121753596576,1.8189184506008027,0.0990331276902413,0.350373109066594,0.18469726188504626,0.07718338686258878,0.0990331276902413,0.3559104460794873,0.1382719855890411,0.1403061306031621,-0.0122408111429649,0.14642718646035863,0.13015393324878197,-0.0122408111429649,0.4375065434972072,0.03527776146808584,96.97969271334115,326.8740995672557,6.8774520026312915,23.14881896972656,50.78016035630484,40.35288520620215,45.486354473620224,40.35288520620215,-6.617246745851836,0.29752634276473316,-0.2975878030462137,6.673794692346347,0.5207453773035908,6.612630065143624,0.05416021865763225,0.30120966216933637,0.17980903490135733,0.2513399813763527,0.41789134324377236,0.0,0.256877318389246,0.04467799999999933,-10.427275150102687,mixed_motion,head_active,neutral,inferred,observable,observable,True,motion did not match the stronger motion rules,"head turn mean 97.0, max 326.9 deg/s",min distance 40.35 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"motion did not match the stronger motion rules | head turn mean 97.0, max 326.9 deg/s | min distance 40.35 m","speed 0.10->0.35 m/s; mean 0.18, cv 0.42; accel min/max -0.01/0.44; distance 50.78->40.35 m; head max 326.9 deg/s; progress ratio 0.18",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.10->0.35 m/s; mean 0.18, cv 0.42; accel min/max -0.01/0.44; distance 50.78->40.35 m; head max 326.9 deg/s; progress ratio 0.18",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
9,1,acceleration,231,266,10.705322,12.274414,1.5690919999999995,216163,216233,10.705322,12.274414,0.38588420828346026,1.8155777935986108,0.350373109066594,0.5397331963350329,0.33492866991527476,0.13451227033737567,0.1780577995830359,0.5598607646133194,0.2207791776221863,-0.0122408111429649,0.0323354515208717,0.13926467106888674,0.3149832151251754,-0.2956267734471332,0.6445749806408524,0.05319909772931203,126.39113527556638,325.39904582494006,9.131124708387587,21.476089477539038,40.35288520620215,29.473384324657545,34.9435739877951,29.473384324657545,-6.956210644163454,0.31065740311442824,-0.310467497850706,7.3667151967184346,0.3723938330093029,6.563585200295346,0.461615121056115,0.5217517141467228,0.8847409764835067,0.1893600872684389,0.40161467924320293,0.17231530948355814,0.38180296503028344,0.0,-10.879500881544608,speed_increasing,head_active,neutral,observable,observable,observable,False,speed slope 0.22 m/s/s,"head turn mean 126.4, max 325.4 deg/s",min distance 29.47 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed slope 0.22 m/s/s | head turn mean 126.4, max 325.4 deg/s | min distance 29.47 m","speed 0.35->0.54 m/s; mean 0.33, cv 0.40; accel min/max -0.30/0.64; distance 40.35->29.47 m; head max 325.4 deg/s; progress ratio 0.88",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.35->0.54 m/s; mean 0.33, cv 0.40; accel min/max -0.30/0.64; distance 40.35->29.47 m; head max 325.4 deg/s; progress ratio 0.88",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
