micro_segment_id,macro_segment_id,macro_label,start_idx,end_idx,start_time_sec,end_time_sec,duration_sec,start_frame,end_frame,ScenarioTime_start_raw,ScenarioTime_end_raw,change_score_mean,change_score_max,speed_start,speed_end,speed_mean,speed_std,speed_min,speed_max,speed_slope,accel_start,accel_end,accel_mean,accel_std,accel_min,accel_max,accel_jerk_abs_mean,head_turn_rate_mean_abs,head_turn_rate_max_abs,head_body_yaw_diff_mean_abs,head_body_yaw_diff_max_abs,distance_start,distance_end,distance_mean,distance_min,distance_slope,distance_closing_mean,distance_change_mean,car_speed_mean,car_accel_mean,avatar_vr_gap_max,displacement_xz,path_length_xz,progress_ratio,speed_delta,speed_cv,speed_drop,speed_recovery,zero_velocity_duration_sec,distance_delta,motion_tag,head_tag,car_tag,motion_tag_type,head_tag_type,car_tag_type,has_inferred_behavior,motion_evidence,head_evidence,car_context_evidence,tagging_note,primary_evidence,supporting_evidence,columns_used,notes,plain_description,signals_used_for_boundaries
0,0,pre_movement_low_motion,0,47,0.0,2.187743999999999,2.187743999999999,356.94171142578125,358.3812561035156,214971,215111,0.190052156789411,2.6126421594640727,0.014175804585464,0.0941621864165192,0.028486320521577135,0.026448150062808075,0.0034616818422936,0.0941621864165192,0.02939890139411609,-0.0067841499952875,0.3755604101068894,0.04107399986444068,0.09786831954123407,-0.0953877091011723,0.3755604101068894,0.018009061422568844,15.994660723858138,203.1682868892233,0.9911403656005918,5.1468658447265625,72.51906119457118,71.68337280280538,72.3845884637952,71.68337280280538,-0.2743327855470069,0.017727051954036403,-0.017410174828454125,0.3833372257288925,0.7712745486413466,9.293160342238666,27.353097477467184,30.33388930107195,0.9017339387633544,0.0799863818310552,0.9284509048044575,0.0107141227431704,0.0907005045742256,2.234374999999999,-0.8356883917657996,pausing,head_active,neutral,observable,observable,observable,False,speed < 0.10 m/s for 2.23 s,"head turn mean 16.0, max 203.2 deg/s",min distance 71.68 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed < 0.10 m/s for 2.23 s | head turn mean 16.0, max 203.2 deg/s | min distance 71.68 m","speed 0.01->0.09 m/s; mean 0.03, cv 0.93; accel min/max -0.10/0.38; distance 72.52->71.68 m; head max 203.2 deg/s; progress ratio 0.90",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.01->0.09 m/s; mean 0.03, cv 0.93; accel min/max -0.10/0.38; distance 72.52->71.68 m; head max 203.2 deg/s; progress ratio 0.90",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
1,0,pre_movement_low_motion,47,59,2.187743999999999,2.732909999999999,0.545166,358.3812561035156,358.3741760253906,215111,215145,0.5878167347670766,1.528137119374786,0.0941621864165192,0.0715070987531964,0.15893545385443011,0.04741493945108435,0.0715070987531964,0.2190835277009571,-0.049889616543250526,0.3755604101068894,-0.2736546425691746,0.005223375118972444,0.27911133840318475,-0.3440730899339387,0.3755604101068894,0.06583766228379935,156.1806050413967,279.33700308615227,9.6596409724309,17.090789794921875,71.68337280280538,70.4022862988733,71.08043766786844,70.4022862988733,-2.3444241432946913,0.10446156908805364,-0.10473423037127373,2.312678997522602,2.0430778356724106,9.363569199687428,75.21474347885633,75.31058395365345,0.998727397003639,-0.022655087663322804,0.29832827290072084,0.14757642894776068,0.0,0.08837949999999983,-1.2810865039320731,mixed_motion,head_active,neutral,inferred,observable,observable,True,motion did not match the stronger motion rules,"head turn mean 156.2, max 279.3 deg/s",min distance 70.40 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"motion did not match the stronger motion rules | head turn mean 156.2, max 279.3 deg/s | min distance 70.40 m","speed 0.09->0.07 m/s; mean 0.16, cv 0.30; accel min/max -0.34/0.38; distance 71.68->70.40 m; head max 279.3 deg/s; progress ratio 1.00",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.09->0.07 m/s; mean 0.16, cv 0.30; accel min/max -0.34/0.38; distance 71.68->70.40 m; head max 279.3 deg/s; progress ratio 1.00",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
2,0,pre_movement_low_motion,64,94,2.952392999999999,4.323729999999999,1.3713370000000005,358.45660400390625,358.3682861328125,215160,215251,0.16496449746392652,0.9407361498572495,0.0881156283223174,0.1192261813586891,0.16639687670757144,0.04530224635478142,0.0881156283223174,0.2533559380398957,-0.060036779672311844,0.2674954860358349,0.0014336389985596,0.018997170902131925,0.19507468080500132,-0.2028047930923983,0.4326638674825776,0.03421056141188238,105.52527929753703,237.4297265452261,5.274536132812506,14.62908935546875,69.7278832054932,63.518242223920815,66.95729536487644,63.518242223920815,-4.5499619122171495,0.2048602672972298,-0.20492397102003287,4.49158991758898,1.6975681740687407,9.377431816286483,133.07191350689155,133.332639677454,0.9980445435476776,0.03111055303637171,0.272254186804217,0.0,0.1652403097175783,0.04565449999999971,-6.2096409815723845,mixed_motion,head_active,neutral,inferred,observable,observable,True,motion did not match the stronger motion rules,"head turn mean 105.5, max 237.4 deg/s",min distance 63.52 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"motion did not match the stronger motion rules | head turn mean 105.5, max 237.4 deg/s | min distance 63.52 m","speed 0.09->0.12 m/s; mean 0.17, cv 0.27; accel min/max -0.20/0.43; distance 69.73->63.52 m; head max 237.4 deg/s; progress ratio 1.00",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.09->0.12 m/s; mean 0.17, cv 0.27; accel min/max -0.20/0.43; distance 69.73->63.52 m; head max 237.4 deg/s; progress ratio 1.00",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
3,0,pre_movement_low_motion,94,123,4.323729999999999,5.711669999999999,1.3879399999999995,358.3682861328125,356.9423522949219,215251,215337,0.1804697071083225,1.0244230469721727,0.1192261813586891,0.0894342795131175,0.1237820211804817,0.013273717743473945,0.0894342795131175,0.1455112090738387,-0.007597594835743455,0.0014336389985596,-0.0640211085893227,-0.012183140963517216,0.04358557980937328,-0.1007155651686562,0.0500870548229673,0.013870856927381497,42.2324293461522,87.73986558425004,2.3150883992513047,7.0211029052734375,63.518242223920815,54.51680867704391,59.190719739898114,54.51680867704391,-6.498283094838718,0.30897768999488284,-0.3090066689384308,6.476951766453073,1.2216826038687174,9.235440667617125,53.668851723653475,55.71421966344696,0.9632882242244629,-0.02979190184557161,0.10723461789430679,0.05607692956072119,0.0,0.04711899999999947,-9.001433546876903,near_stationary,head_active,neutral,observable,observable,observable,False,mean speed 0.12 m/s; min 0.09 m/s,"head turn mean 42.2, max 87.7 deg/s",min distance 54.52 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"mean speed 0.12 m/s; min 0.09 m/s | head turn mean 42.2, max 87.7 deg/s | min distance 54.52 m","speed 0.12->0.09 m/s; mean 0.12, cv 0.11; accel min/max -0.10/0.05; distance 63.52->54.52 m; head max 87.7 deg/s; progress ratio 0.96",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.12->0.09 m/s; mean 0.12, cv 0.11; accel min/max -0.10/0.05; distance 63.52->54.52 m; head max 87.7 deg/s; progress ratio 0.96",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
4,0,pre_movement_low_motion,123,137,5.711669999999999,6.390380999999999,0.6787109999999998,356.9423522949219,357.22216796875,215337,215379,0.777297593091652,1.248981805931409,0.0894342795131175,0.0986837527248515,0.11134671514111184,0.017097475187794996,0.0849288925266447,0.1307399884314386,0.05146309817587603,-0.0640211085893227,-0.154194257233391,-0.019790871571992753,0.07015576278309978,-0.154194257233391,0.074996366962157,0.02630057855335912,74.75932752948182,109.36434247271578,6.137726847330727,11.087387084960938,54.51680867704391,49.5149512703201,52.040718891216734,49.5149512703201,-7.371532399326429,0.35635281278946007,-0.35606670079394764,7.573726917811126,0.7834054142457652,9.059781461423078,40.97613696029305,41.100004541837976,0.9969861905630975,0.009249473211734,0.15355168013826934,0.0045053869864727925,0.0458110959047939,0.24243199999999954,-5.001857406723815,pausing,head_active,neutral,observable,observable,observable,False,speed < 0.10 m/s for 0.24 s,"head turn mean 74.8, max 109.4 deg/s",min distance 49.51 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed < 0.10 m/s for 0.24 s | head turn mean 74.8, max 109.4 deg/s | min distance 49.51 m","speed 0.09->0.10 m/s; mean 0.11, cv 0.15; accel min/max -0.15/0.07; distance 54.52->49.51 m; head max 109.4 deg/s; progress ratio 1.00",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.09->0.10 m/s; mean 0.11, cv 0.15; accel min/max -0.15/0.07; distance 54.52->49.51 m; head max 109.4 deg/s; progress ratio 1.00",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
5,0,pre_movement_low_motion,137,166,6.390380999999999,7.828856999999999,1.4384760000000005,357.22216796875,357.2018127441406,215379,215466,0.032546376354846564,0.3245494474411347,0.0986837527248515,0.006420599825072,0.0280618676637715,0.024650494029343356,0.0061360604098043,0.0986837527248515,-0.04934532384307251,-0.154194257233391,0.001207641756115,-0.0647095762151293,0.0630646218116668,-0.1827425273523323,0.001207641756115,0.007349123593618143,17.16627945331364,84.25384790570585,1.639928690592448,5.773971557617159,49.5149512703201,38.005296563780185,43.86395513527038,38.005296563780185,-7.997052827037388,0.3958641560458237,-0.39590249863576427,8.173127277348334,0.5134194491500674,9.063877053694586,16.228919635033243,18.317547206521642,0.88597667864916,-0.0922631528997795,0.8784338350069156,0.0925476923150472,0.0002845394152676999,1.4882810000000006,-11.509654706539912,pausing,head_active,neutral,observable,observable,observable,False,speed < 0.10 m/s for 1.49 s,"head turn mean 17.2, max 84.3 deg/s",min distance 38.01 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed < 0.10 m/s for 1.49 s | head turn mean 17.2, max 84.3 deg/s | min distance 38.01 m","speed 0.10->0.01 m/s; mean 0.03, cv 0.88; accel min/max -0.18/0.00; distance 49.51->38.01 m; head max 84.3 deg/s; progress ratio 0.89",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.10->0.01 m/s; mean 0.03, cv 0.88; accel min/max -0.18/0.00; distance 49.51->38.01 m; head max 84.3 deg/s; progress ratio 0.89",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
6,1,acceleration,166,176,7.828856999999999,8.332030999999999,0.5031739999999996,357.2018127441406,355.317626953125,215466,215496,0.3110294283512379,1.5060277432438045,0.006420599825072,0.0797219021707771,0.024051174622553472,0.023087934081941975,0.006420599825072,0.0797219021707771,0.12487587742707643,0.001207641756115,0.4360671524718377,0.16946208381608888,0.14587113571725294,0.001207641756115,0.4360671524718377,0.04348595107157227,4.845821341297343,11.166690834190566,0.48138982599432334,1.2178649902344034,38.005296563780185,33.85109303809277,35.91907417454466,33.85109303809277,-8.247609149067376,0.41362730747923276,-0.4150971810662705,8.54150528742893,-0.27741688905141504,9.053570753357102,2.0876617867719607,2.1061838402145416,0.9912058704995599,0.0733013023457051,0.959950374327737,0.0,0.0733013023457051,0.5533449999999998,-4.154203525687414,pausing,head_still,neutral,observable,observable,observable,False,speed < 0.10 m/s for 0.55 s,"head turn mean 4.8, max 11.2 deg/s",min distance 33.85 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed < 0.10 m/s for 0.55 s | head turn mean 4.8, max 11.2 deg/s | min distance 33.85 m","speed 0.01->0.08 m/s; mean 0.02, cv 0.96; accel min/max 0.00/0.44; distance 38.01->33.85 m; head max 11.2 deg/s; progress ratio 0.99",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.01->0.08 m/s; mean 0.02, cv 0.96; accel min/max 0.00/0.44; distance 38.01->33.85 m; head max 11.2 deg/s; progress ratio 0.99",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
7,1,acceleration,176,228,8.332030999999999,10.790770999999998,2.458739999999999,355.317626953125,353.3659362792969,215496,215651,0.39590962350246806,2.1882714819380813,0.0797219021707771,1.0296404602618412,0.6523634247908837,0.2703546034022293,0.0797219021707771,1.059142029927295,0.36869451531328706,0.4360671524718377,-0.0067331621495619,0.37158301975617736,0.14422162283166842,-0.0067331621495619,0.5912270663975631,0.02876541230784118,42.79782105758488,125.20179852972387,2.762337018858713,9.843666076660156,33.85109303809277,18.44817708368012,25.379768449340354,18.44817708368012,-6.1888609457288775,0.2982668710124457,-0.2982625297118076,6.5728002775405505,-1.349047141613158,9.046463654879542,69.35539209514138,87.819629647295,0.78974817331489,0.9499185580910641,0.41442330015495876,0.0,0.9794201277565178,0.046875,-15.402915954412649,speed_increasing,head_active,neutral,observable,observable,observable,False,speed slope 0.37 m/s/s,"head turn mean 42.8, max 125.2 deg/s",min distance 18.45 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed slope 0.37 m/s/s | head turn mean 42.8, max 125.2 deg/s | min distance 18.45 m","speed 0.08->1.03 m/s; mean 0.65, cv 0.41; accel min/max -0.01/0.59; distance 33.85->18.45 m; head max 125.2 deg/s; progress ratio 0.79",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 0.08->1.03 m/s; mean 0.65, cv 0.41; accel min/max -0.01/0.59; distance 33.85->18.45 m; head max 125.2 deg/s; progress ratio 0.79",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
8,2,main_movement,228,252,10.790770999999998,11.878417999999998,1.0876470000000005,353.3659362792969,353.39190673828125,215651,215722,0.3007125754730978,1.5409258586495143,1.0296404602618412,1.0574389945419724,0.9484620478033985,0.06594483982796982,0.8338511626718081,1.0574389945419724,-0.08813410991136218,-0.0067331621495619,0.1605308036171364,-0.048900315875548835,0.20954589686212724,-0.3244724735156171,0.3552703519500541,0.0735138123618417,8.511762787925981,16.420377884903434,0.6521224975585938,1.3847122192382812,18.44817708368012,13.931054540360543,16.06205707591866,13.931054540360543,-4.188766123486748,0.18902064761649623,-0.18945631134425475,4.301554667921699,-1.6906833867816373,7.678870502520922,1.8125164745648439,7.404660972448639,0.24478048101174102,0.027798534280131237,0.06952817983671095,0.20536172509489914,0.2235878318701643,0.0,-4.517122543319578,hesitating,head_still,neutral,inferred,observable,observable,True,speed drop 0.21 m/s with recovery 0.22 m/s,"head turn mean 8.5, max 16.4 deg/s",min distance 13.93 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed drop 0.21 m/s with recovery 0.22 m/s | head turn mean 8.5, max 16.4 deg/s | min distance 13.93 m","speed 1.03->1.06 m/s; mean 0.95, cv 0.07; accel min/max -0.32/0.36; distance 18.45->13.93 m; head max 16.4 deg/s; progress ratio 0.24",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 1.03->1.06 m/s; mean 0.95, cv 0.07; accel min/max -0.32/0.36; distance 18.45->13.93 m; head max 16.4 deg/s; progress ratio 0.24",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
9,2,main_movement,252,270,11.878417999999998,12.702880999999998,0.8244629999999997,353.39190673828125,353.89404296875,215722,215776,0.43703058876676737,1.4716777391710874,1.0574389945419724,0.8083583890590013,0.9381968268207711,0.06171931761658865,0.8083583890590013,1.0574389945419724,-0.20657705171569074,0.1605308036171364,-0.2707179366317913,-0.15007028005370557,0.14684952327258458,-0.345382774319189,0.1990930149153537,0.10030878410146778,4.827590855159028,15.054287156836113,0.3299387881630345,0.8111648559570312,13.931054540360543,12.37444589777516,13.003183448444695,12.37444589777516,-1.8824673559588265,0.0896743081851621,-0.08950544918599204,1.9178203472311326,-2.8407545042986895,6.681458883359042,1.6633526958695044,2.332113790158591,0.7132382231470752,-0.24908060548297117,0.06578504195727708,0.24908060548297117,0.0,0.0,-1.556608642585383,speed_decreasing,head_still,neutral,observable,observable,observable,False,speed slope -0.21 m/s/s,"head turn mean 4.8, max 15.1 deg/s",min distance 12.37 m,Tags are separated by dimension; combine motion_tag/head_tag/car_tag later during analysis if needed.,"speed slope -0.21 m/s/s | head turn mean 4.8, max 15.1 deg/s | min distance 12.37 m","speed 1.06->0.81 m/s; mean 0.94, cv 0.07; accel min/max -0.35/0.20; distance 13.93->12.37 m; head max 15.1 deg/s; progress ratio 0.71",ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate|head_body_yaw_diff|car_ped_distance_xz_smooth|distance_closing_smooth|car_speed_xz_smooth|car_accel_xz_smooth|avatar_vr_gap_xz,Motion/head/car tags are independent descriptive measurements; avatar_vr_gap_xz is audit-only and not used for movement boundaries.,"speed 1.06->0.81 m/s; mean 0.94, cv 0.07; accel min/max -0.35/0.20; distance 13.93->12.37 m; head max 15.1 deg/s; progress ratio 0.71",residual ped_speed_xz_smooth|residual ped_accel_xz_smooth|residual head_turn_rate|raw speed pause/hesitation detectors
