event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,1.374023,low_motion,1.374023,0.9,28,3
1,1.040649,2.374023,head_check,1.3333740000000003,1.0,28,3
2,2.040649,13.291748,low_motion,11.251099,0.9,28,3
3,12.833374,14.791748,acceleration,1.958374000000001,0.8,28,3
4,14.333374,15.791748,crossing_commitment,1.458374000000001,0.78,28,3
5,15.333374,16.291748,acceleration,0.9583739999999992,0.8,28,3
6,15.833374,17.291748,crossing_commitment,1.4583739999999992,0.78,28,3
7,16.833374,20.29187,possible_yielding,3.4584960000000002,0.85,28,3
8,19.833618,22.16687,acceleration,2.333251999999998,0.8,28,3
9,22.16687,28.041992,crossing_commitment,5.875122000000001,0.78,28,3
10,27.666992,28.541992,possible_yielding,0.875,0.85,28,3
11,28.166992,29.541992,crossing_commitment,1.375,0.78,28,3
12,29.166992,31.250366,deceleration,2.083373999999999,0.8,28,3
13,31.250366,41.292114,low_motion,10.041747999999998,0.9,28,3
