pednyc_number,scenario_number,recording_identifier,source_csv_path,availability_status,processing_status,failure_exclusion_reason
1,3,PedNYC1_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario3\decoded_clean_PedNYC1_scenario3.csv,available,success,
1,7,PedNYC1_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario7\decoded_clean_PedNYC1_scenario7.csv,available,success,
1,12,PedNYC1_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario12\decoded_clean_PedNYC1_scenario12.csv,available,success,
1,15,PedNYC1_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario15\decoded_clean_PedNYC1_scenario15.csv,available,success,
1,16,PedNYC1_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario16\decoded_clean_PedNYC1_scenario16.csv,available,success,
1,21,PedNYC1_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario21\decoded_clean_PedNYC1_scenario21.csv,available,success,
2,3,PedNYC2_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario3\decoded_clean_PedNYC2_scenario3.csv,available,success,
2,7,PedNYC2_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario7\decoded_clean_PedNYC2_scenario7.csv,available,success,
2,12,PedNYC2_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario12\decoded_clean_PedNYC2_scenario12.csv,available,success,
2,15,PedNYC2_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario15\decoded_clean_PedNYC2_scenario15.csv,available,success,
2,16,PedNYC2_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario16\decoded_clean_PedNYC2_scenario16.csv,available,success,
2,21,PedNYC2_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario21\decoded_clean_PedNYC2_scenario21.csv,available,success,
3,3,PedNYC3_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario3\decoded_clean_PedNYC3_scenario3.csv,available,success,
3,7,PedNYC3_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario7\decoded_clean_PedNYC3_scenario7.csv,available,success,
3,12,PedNYC3_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario12\decoded_clean_PedNYC3_scenario12.csv,available,success,
3,15,PedNYC3_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario15\decoded_clean_PedNYC3_scenario15.csv,available,success,
3,16,PedNYC3_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario16\decoded_clean_PedNYC3_scenario16.csv,available,success,
3,21,PedNYC3_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario21\decoded_clean_PedNYC3_scenario21.csv,available,success,
4,3,PedNYC4_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario3\decoded_clean_PedNYC4_scenario3.csv,available,success,
4,7,PedNYC4_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario7\decoded_clean_PedNYC4_scenario7.csv,available,success,
4,12,PedNYC4_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario12\decoded_clean_PedNYC4_scenario12.csv,available,success,
4,15,PedNYC4_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario15\decoded_clean_PedNYC4_scenario15.csv,available,success,
4,16,PedNYC4_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario16\decoded_clean_PedNYC4_scenario16.csv,available,success,
4,21,PedNYC4_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario21\decoded_clean_PedNYC4_scenario21.csv,available,success,
5,3,PedNYC5_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario3\decoded_clean_PedNYC5_scenario3.csv,available,success,
5,7,PedNYC5_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario7\decoded_clean_PedNYC5_scenario7.csv,available,success,
5,12,PedNYC5_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario12\decoded_clean_PedNYC5_scenario12.csv,available,success,
5,15,PedNYC5_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc5\scenario15\decoded_clean_PedNYC5_scenario15.csv,available,success,
