scenario_number,event_label,recordings,prevalence
3,crossing_commitment,26,1.0
3,low_motion,26,1.0
3,possible_yielding,25,0.9615384615384616
3,acceleration,26,1.0
3,deceleration,26,1.0
3,head_check,18,0.6923076923076923
3,possible_hesitation,9,0.34615384615384615
7,head_check,17,0.7391304347826086
7,crossing_commitment,23,1.0
7,low_motion,23,1.0
7,possible_yielding,22,0.9565217391304348
7,acceleration,23,1.0
7,deceleration,23,1.0
7,possible_hesitation,9,0.391304347826087
12,head_check,21,0.8076923076923077
12,crossing_commitment,26,1.0
12,low_motion,26,1.0
12,acceleration,26,1.0
12,deceleration,26,1.0
12,possible_hesitation,10,0.38461538461538464
12,possible_yielding,9,0.34615384615384615
15,head_check,20,0.7142857142857143
15,crossing_commitment,26,0.9285714285714286
15,low_motion,28,1.0
15,possible_yielding,26,0.9285714285714286
15,acceleration,27,0.9642857142857143
15,deceleration,26,0.9285714285714286
15,possible_hesitation,11,0.39285714285714285
16,crossing_commitment,24,0.96
16,low_motion,25,1.0
16,possible_yielding,20,0.8
16,acceleration,24,0.96
16,deceleration,24,0.96
16,head_check,18,0.72
16,possible_hesitation,11,0.44
21,head_check,18,0.6666666666666666
21,crossing_commitment,26,0.9629629629629629
21,low_motion,27,1.0
21,possible_yielding,25,0.9259259259259259
21,acceleration,26,0.9629629629629629
21,deceleration,25,0.9259259259259259
21,possible_hesitation,6,0.2222222222222222
