scenario_number,transition,frequency
3,low_motion -> acceleration,62
3,acceleration -> crossing_commitment,141
3,crossing_commitment -> acceleration,97
3,acceleration -> possible_yielding,12
3,possible_yielding -> crossing_commitment,23
3,crossing_commitment -> possible_yielding,27
3,crossing_commitment -> deceleration,57
3,deceleration -> acceleration,22
3,deceleration -> low_motion,29
3,head_check -> acceleration,12
3,acceleration -> possible_hesitation,4
3,possible_hesitation -> low_motion,11
3,low_motion -> possible_hesitation,10
3,acceleration -> low_motion,18
3,low_motion -> head_check,23
3,acceleration -> head_check,16
3,crossing_commitment -> head_check,8
3,head_check -> crossing_commitment,11
3,acceleration -> deceleration,18
3,deceleration -> crossing_commitment,23
3,head_check -> low_motion,29
3,deceleration -> head_check,7
3,possible_hesitation -> head_check,1
3,possible_yielding -> acceleration,10
3,possible_yielding -> low_motion,5
3,possible_yielding -> deceleration,4
3,crossing_commitment -> low_motion,9
3,possible_hesitation -> acceleration,5
3,head_check -> deceleration,7
3,deceleration -> possible_yielding,2
3,possible_yielding -> head_check,2
3,low_motion -> possible_yielding,1
3,crossing_commitment -> possible_hesitation,1
3,deceleration -> possible_hesitation,1
3,head_check -> possible_hesitation,1
3,head_check -> possible_yielding,2
3,possible_hesitation -> crossing_commitment,1
7,head_check -> low_motion,11
7,low_motion -> head_check,13
7,low_motion -> acceleration,32
7,acceleration -> crossing_commitment,117
7,crossing_commitment -> acceleration,88
7,acceleration -> deceleration,18
7,deceleration -> crossing_commitment,33
7,crossing_commitment -> deceleration,54
7,crossing_commitment -> low_motion,4
7,low_motion -> possible_yielding,2
7,possible_yielding -> low_motion,7
7,deceleration -> acceleration,11
7,acceleration -> possible_yielding,4
7,possible_yielding -> acceleration,6
7,deceleration -> low_motion,26
7,acceleration -> low_motion,7
7,head_check -> deceleration,9
7,crossing_commitment -> possible_yielding,11
7,head_check -> acceleration,12
7,possible_yielding -> crossing_commitment,8
7,acceleration -> head_check,7
7,head_check -> crossing_commitment,9
7,crossing_commitment -> head_check,11
7,deceleration -> head_check,4
7,deceleration -> possible_yielding,7
7,acceleration -> possible_hesitation,3
7,possible_hesitation -> low_motion,4
7,possible_yielding -> deceleration,2
7,low_motion -> possible_hesitation,6
7,possible_hesitation -> acceleration,7
7,head_check -> possible_yielding,1
7,possible_yielding -> head_check,1
7,head_check -> possible_hesitation,1
7,possible_yielding -> possible_hesitation,1
7,crossing_commitment -> possible_hesitation,2
7,possible_hesitation -> crossing_commitment,3
7,deceleration -> possible_hesitation,1
7,low_motion -> crossing_commitment,1
12,head_check -> low_motion,24
12,low_motion -> head_check,17
12,head_check -> acceleration,4
12,acceleration -> crossing_commitment,116
12,crossing_commitment -> deceleration,53
12,deceleration -> acceleration,23
12,crossing_commitment -> acceleration,80
12,deceleration -> low_motion,30
12,low_motion -> acceleration,51
12,acceleration -> low_motion,11
12,deceleration -> crossing_commitment,24
12,acceleration -> possible_hesitation,4
12,possible_hesitation -> low_motion,10
12,acceleration -> deceleration,26
12,low_motion -> possible_hesitation,6
12,possible_hesitation -> acceleration,4
12,crossing_commitment -> low_motion,5
12,crossing_commitment -> possible_yielding,5
12,possible_yielding -> crossing_commitment,4
12,possible_yielding -> acceleration,2
12,acceleration -> possible_yielding,2
12,crossing_commitment -> head_check,6
12,head_check -> crossing_commitment,8
12,deceleration -> head_check,2
12,head_check -> possible_hesitation,1
12,deceleration -> possible_hesitation,4
12,possible_yielding -> deceleration,2
12,low_motion -> possible_yielding,2
12,possible_hesitation -> crossing_commitment,1
12,possible_hesitation -> deceleration,2
12,crossing_commitment -> possible_hesitation,3
12,possible_hesitation -> possible_yielding,1
12,possible_yielding -> low_motion,2
12,acceleration -> head_check,4
15,head_check -> low_motion,25
15,low_motion -> acceleration,60
15,acceleration -> crossing_commitment,119
15,crossing_commitment -> acceleration,85
15,acceleration -> deceleration,30
15,deceleration -> crossing_commitment,28
15,crossing_commitment -> deceleration,41
15,crossing_commitment -> low_motion,6
15,acceleration -> possible_yielding,14
15,possible_yielding -> acceleration,14
15,possible_yielding -> low_motion,18
15,deceleration -> low_motion,27
15,crossing_commitment -> possible_yielding,41
15,possible_yielding -> crossing_commitment,27
15,deceleration -> acceleration,15
15,acceleration -> low_motion,10
15,low_motion -> possible_hesitation,5
15,possible_hesitation -> low_motion,9
15,acceleration -> possible_hesitation,10
15,low_motion -> possible_yielding,4
15,low_motion -> head_check,19
15,low_motion -> deceleration,1
15,possible_hesitation -> acceleration,7
15,head_check -> acceleration,7
15,head_check -> possible_hesitation,1
15,possible_hesitation -> crossing_commitment,2
15,acceleration -> head_check,4
15,crossing_commitment -> possible_hesitation,1
15,deceleration -> possible_yielding,1
15,head_check -> crossing_commitment,3
15,deceleration -> possible_hesitation,1
15,crossing_commitment -> head_check,3
15,head_check -> deceleration,3
15,deceleration -> head_check,1
16,acceleration -> deceleration,17
16,deceleration -> low_motion,25
16,low_motion -> acceleration,41
16,acceleration -> crossing_commitment,78
16,crossing_commitment -> acceleration,50
16,acceleration -> possible_yielding,9
16,possible_yielding -> crossing_commitment,13
16,crossing_commitment -> deceleration,42
16,head_check -> low_motion,19
16,deceleration -> crossing_commitment,20
16,acceleration -> low_motion,9
16,crossing_commitment -> possible_hesitation,1
16,possible_hesitation -> low_motion,13
16,low_motion -> head_check,11
16,low_motion -> possible_hesitation,12
16,possible_yielding -> acceleration,11
16,possible_hesitation -> acceleration,5
16,crossing_commitment -> possible_yielding,14
16,crossing_commitment -> low_motion,7
16,acceleration -> head_check,3
16,head_check -> crossing_commitment,2
16,deceleration -> acceleration,11
16,deceleration -> possible_yielding,1
16,acceleration -> possible_hesitation,4
16,deceleration -> possible_hesitation,2
16,low_motion -> deceleration,2
16,head_check -> acceleration,3
16,possible_yielding -> deceleration,1
16,possible_hesitation -> crossing_commitment,1
16,deceleration -> head_check,4
16,head_check -> deceleration,1
16,low_motion -> possible_yielding,1
21,low_motion -> head_check,7
21,head_check -> low_motion,13
21,low_motion -> crossing_commitment,3
21,crossing_commitment -> acceleration,70
21,acceleration -> crossing_commitment,107
21,crossing_commitment -> possible_yielding,40
21,possible_yielding -> deceleration,11
21,deceleration -> crossing_commitment,21
21,crossing_commitment -> deceleration,39
21,deceleration -> possible_yielding,5
21,possible_yielding -> low_motion,18
21,low_motion -> acceleration,54
21,acceleration -> low_motion,12
21,low_motion -> deceleration,3
21,deceleration -> low_motion,29
21,deceleration -> head_check,6
21,acceleration -> head_check,6
21,acceleration -> deceleration,22
21,acceleration -> possible_yielding,10
21,possible_yielding -> crossing_commitment,21
21,possible_yielding -> acceleration,12
21,head_check -> crossing_commitment,4
21,deceleration -> acceleration,15
21,head_check -> deceleration,3
21,crossing_commitment -> head_check,3
21,head_check -> possible_hesitation,1
21,possible_hesitation -> low_motion,6
21,head_check -> acceleration,4
21,low_motion -> possible_hesitation,4
21,possible_yielding -> head_check,3
21,head_check -> possible_yielding,4
21,low_motion -> possible_yielding,7
21,crossing_commitment -> low_motion,5
21,possible_hesitation -> crossing_commitment,1
21,possible_yielding -> possible_hesitation,1
21,acceleration -> possible_hesitation,1
