,median_pedestrian_speed,peak_pedestrian_speed,median_positive_acceleration,median_deceleration_magnitude,low_motion_proportion,stop_start_count,recording_duration,head_rotation_event_count,median_absolute_head_rotation_rate,minimum_pedestrian_vehicle_distance,vehicle_speed_at_movement_onset,vehicle_deceleration_around_movement_onset,median_closing_speed
median_pedestrian_speed,1.0,0.02597040211495609,0.578152705873702,0.6086043758500997,-0.7945230962985731,-0.26956050793198866,-0.2865437945482816,0.038358901157265084,0.2764570394920463,-0.22659797074679144,0.029176797937510456,0.1282221216881292,0.15820772797578464
peak_pedestrian_speed,0.02597040211495609,1.0,0.2727022738189961,0.26665898410432937,-0.1988615251906989,0.028680875722626648,0.04725573778170422,0.28022457752037844,0.08422764333196035,-0.49068971990168986,0.08232198236591783,0.04492190656271706,-0.001090785111975807
median_positive_acceleration,0.578152705873702,0.2727022738189961,1.0,0.9155446700774006,-0.7366373995701176,0.014377905053964928,-0.2535433633193845,0.06996397361732945,0.5615076739530728,-0.21562682383100704,-0.22542689867456034,0.19540986949260408,0.19901860623724338
median_deceleration_magnitude,0.6086043758500997,0.26665898410432937,0.9155446700774006,1.0,-0.7719925603026273,0.050983265400368315,-0.21808613331865292,0.12379538131811436,0.6270289771592643,-0.24676372568183905,-0.21030659542904726,0.2088679230275552,0.19902030327145825
low_motion_proportion,-0.7945230962985731,-0.1988615251906989,-0.7366373995701176,-0.7719925603026273,1.0,0.24661293085538863,0.22725425382449865,-0.06260494031070189,-0.42921972917297574,0.5125528366629069,0.0853464364093129,-0.17358404816617057,-0.21064496548567757
stop_start_count,-0.26956050793198866,0.028680875722626648,0.014377905053964928,0.050983265400368315,0.24661293085538863,1.0,0.652664399487184,0.5326826427536401,0.20244015473686203,0.17607766362355734,-0.2012658994986709,0.011000301852842261,-0.17116969021198933
recording_duration,-0.2865437945482816,0.04725573778170422,-0.2535433633193845,-0.21808613331865292,0.22725425382449865,0.652664399487184,1.0,0.4972659320873384,-0.17298850582922173,0.01813253206381969,-0.24261996047398793,-0.04684404787848778,-0.35609617854814035
head_rotation_event_count,0.038358901157265084,0.28022457752037844,0.06996397361732945,0.12379538131811436,-0.06260494031070189,0.5326826427536401,0.4972659320873384,1.0,0.1772389589837498,-0.0678927465307505,-0.15266501595414145,-0.07222426490775426,-0.06749167404884897
median_absolute_head_rotation_rate,0.2764570394920463,0.08422764333196035,0.5615076739530728,0.6270289771592643,-0.42921972917297574,0.20244015473686203,-0.17298850582922173,0.1772389589837498,1.0,-0.09356850656058197,-0.1885709853075359,0.21096926881978703,0.22302898472008512
minimum_pedestrian_vehicle_distance,-0.22659797074679144,-0.49068971990168986,-0.21562682383100704,-0.24676372568183905,0.5125528366629069,0.17607766362355734,0.01813253206381969,-0.0678927465307505,-0.09356850656058197,1.0,-0.14286084303141272,-0.11295918633664039,-0.01913230969713022
vehicle_speed_at_movement_onset,0.029176797937510456,0.08232198236591783,-0.22542689867456034,-0.21030659542904726,0.0853464364093129,-0.2012658994986709,-0.24261996047398793,-0.15266501595414145,-0.1885709853075359,-0.14286084303141272,1.0,-0.10454713808637463,0.03162191952321895
vehicle_deceleration_around_movement_onset,0.1282221216881292,0.04492190656271706,0.19540986949260408,0.2088679230275552,-0.17358404816617057,0.011000301852842261,-0.04684404787848778,-0.07222426490775426,0.21096926881978703,-0.11295918633664039,-0.10454713808637463,1.0,0.00952935275200403
median_closing_speed,0.15820772797578464,-0.001090785111975807,0.19901860623724338,0.19902030327145825,-0.21064496548567757,-0.17116969021198933,-0.35609617854814035,-0.06749167404884897,0.22302898472008512,-0.01913230969713022,0.03162191952321895,0.00952935275200403,1.0
