scenario_number,macro_sequence,frequency,prevalence
3,low_motion -> acceleration -> crossing -> deceleration -> post_motion,21,0.8076923076923077
3,low_motion -> acceleration -> crossing -> deceleration,5,0.19230769230769232
7,low_motion -> acceleration -> crossing -> deceleration -> post_motion,20,0.8695652173913043
7,low_motion -> acceleration -> crossing -> deceleration,3,0.13043478260869565
12,low_motion -> acceleration -> crossing -> deceleration,4,0.15384615384615385
12,low_motion -> acceleration -> crossing -> deceleration -> post_motion,22,0.8461538461538461
15,low_motion -> acceleration -> crossing -> deceleration,7,0.25
15,low_motion -> acceleration -> crossing -> deceleration -> post_motion,20,0.7142857142857143
15,low_motion,1,0.03571428571428571
16,low_motion -> acceleration -> crossing -> deceleration,2,0.08
16,low_motion -> acceleration -> crossing -> deceleration -> post_motion,22,0.88
16,low_motion,1,0.04
21,low_motion -> acceleration -> crossing -> deceleration -> post_motion,23,0.8518518518518519
21,low_motion,1,0.037037037037037035
21,low_motion -> acceleration -> crossing -> deceleration,3,0.1111111111111111
