pednyc_number,scenario_number,recording_identifier,source_decoded_csv_path,recording_duration,alignment_event,original_alignment_time,movement_onset_time,number_macro_segments,macro_phase_sequence,macro_phase_durations,total_low_motion_duration,acceleration_event_count,acceleration_event_duration,deceleration_event_count,deceleration_event_duration,pause_count,total_pause_duration,median_pause_duration,stop_start_count,head_rotation_event_count,median_absolute_head_rotation_rate,peak_absolute_head_rotation_rate,median_pedestrian_speed,peak_pedestrian_speed,median_positive_acceleration,median_deceleration_magnitude,low_motion_proportion,minimum_pedestrian_vehicle_distance,vehicle_speed_at_movement_onset,vehicle_deceleration_around_movement_onset,median_closing_speed,event_sequence,processing_status,quality_warnings
1,3,PedNYC1_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario3\decoded_clean_PedNYC1_scenario3.csv,31.00293,pedestrian_movement_onset,8.679199,8.679199,5.0,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:1.246;acceleration:2.055;crossing:12.301;deceleration:9.016;post_motion:6.385,11.177976999999998,7.0,8.269774999999997,2.0,1.3532720000000005,5.0,7.983886999999998,1.941650000000001,3.0,0.0,15.638108260693253,290.7890625000005,0.3547162903075639,1.64105413059329,0.1680481152422299,0.1203261468769171,0.3605458258300102,7.052963392445637,7.9912363508341,-1.392153848089945,0.015048226209373,low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> low_motion,success,
1,7,PedNYC1_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario7\decoded_clean_PedNYC1_scenario7.csv,41.770508,pedestrian_movement_onset,1.489258,1.489258,5.0,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:0.256;acceleration:1.331;crossing:20.071;deceleration:8.141;post_motion:11.973,20.593505,4.0,6.667724999999999,4.0,3.6337899999999976,6.0,18.699219,1.4617919999999995,4.0,3.0,10.967603415093253,353.4659678015304,0.1226887117983982,1.7241040266893024,0.0785435124944577,0.0933210778683594,0.4930154308872662,5.129692678496163,0.001069321357744,0.0542819701949576,0.0906448099369817,head_check -> low_motion -> head_check -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> deceleration -> crossing_commitment -> acceleration -> deceleration -> crossing_commitment -> deceleration -> crossing_commitment -> deceleration -> crossing_commitment -> low_motion -> head_check -> low_motion -> possible_yielding -> low_motion,success,
1,12,PedNYC1_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario12\decoded_clean_PedNYC1_scenario12.csv,27.435059,pedestrian_movement_onset,11.594727,11.594727,4.0,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.352;acceleration:14.711;crossing:9.401;deceleration:2.972,13.519532,4.0,5.858154000000001,2.0,3.282226999999999,7.0,11.667236999999997,1.3317869999999985,6.0,2.0,14.490961709657798,438.82568998267647,0.1300378405426835,1.6169161040016955,0.1064566014315148,0.1062031551364082,0.492783048142889,14.2760684307561,5.363083765450111,-1.1624776550318745,0.1089315811367731,head_check -> low_motion -> head_check -> acceleration -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> low_motion,success,
1,15,PedNYC1_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario15\decoded_clean_PedNYC1_scenario15.csv,45.156738,pedestrian_movement_onset,0.465332,0.465332,4.0,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.680;acceleration:24.612;crossing:4.675;deceleration:15.190,25.138428,4.0,9.322267000000004,2.0,3.405027999999998,8.0,23.08398299999999,2.8709714999999982,6.0,1.0,11.416985505893711,1435.4937317341748,0.0846407208696576,1.6615809185910058,0.0947983110495517,0.0879623003056417,0.556692735423006,2.121148137502709,0.0123286204922548,0.0305555701649938,0.0382160005544167,head_check -> low_motion -> acceleration -> crossing_commitment -> acceleration -> deceleration -> crossing_commitment -> deceleration -> crossing_commitment -> low_motion -> acceleration -> possible_yielding -> acceleration -> possible_yielding -> low_motion,success,
1,16,PedNYC1_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario16\decoded_clean_PedNYC1_scenario16.csv,32.949463,pedestrian_movement_onset,0.312256,0.312256,4.0,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.573;acceleration:19.261;crossing:5.017;deceleration:8.097,21.428712,4.0,4.706543000000001,2.0,2.422608000000001,8.0,19.127686,1.6157225000000004,7.0,0.0,15.253439549026908,291.9970582102982,0.0812551372028128,1.6836638580434582,0.0792735066152971,0.06751699662904,0.6503508721826513,6.378167627433179,0.0007903238771118,-0.0001600860234996,0.0137881943018669,acceleration -> deceleration -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> possible_yielding -> crossing_commitment -> deceleration -> low_motion,success,
1,21,PedNYC1_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario21\decoded_clean_PedNYC1_scenario21.csv,45.867737,pedestrian_movement_onset,11.938721,11.938721,5.0,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:7.461;acceleration:1.646;crossing:14.891;deceleration:5.234;post_motion:16.635,28.076966,4.0,4.785598999999996,2.0,3.302153999999998,5.0,26.256486,6.097442999999998,3.0,1.0,13.25018279644468,1424.123155901747,0.0612216808472765,1.3993939858930178,0.0618776560706904,0.0539111423322893,0.6121288695799403,4.668972980175731,4.643119728962518,1.0925828107803448,0.0005681678909634,low_motion -> head_check -> low_motion -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> possible_yielding -> deceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> possible_yielding -> low_motion,success,
2,3,PedNYC2_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario3\decoded_clean_PedNYC2_scenario3.csv,26.343018,pedestrian_movement_onset,1.2146,1.2146,4.0,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.840;acceleration:2.031;crossing:10.220;deceleration:13.252,4.370115999999999,9.0,9.220217000000002,2.0,1.8261709999999989,1.0,2.3942870000000003,2.3942870000000003,1.0,4.0,40.9262630769161,2594.590037005633,0.5764842243027493,1.6706438077794368,0.1662990476531049,0.1496072625177299,0.165892761414049,4.7902679422619485,0.000607308734274,0.0003359710898634,0.0435142016032886,head_check -> acceleration -> crossing_commitment -> acceleration -> possible_hesitation -> low_motion -> possible_hesitation -> low_motion -> acceleration -> low_motion -> head_check -> acceleration -> head_check -> acceleration -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> head_check -> crossing_commitment -> deceleration -> acceleration -> deceleration -> crossing_commitment -> acceleration,success,
2,7,PedNYC2_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario7\decoded_clean_PedNYC2_scenario7.csv,50.100098,pedestrian_movement_onset,8.811279,8.811279,5.0,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:0.242;acceleration:0.567;crossing:23.752;deceleration:0.824;post_motion:24.715,15.771728000000005,17.0,20.48779500000001,9.0,9.251710000000005,8.0,12.323486999999998,1.2349854999999996,7.0,0.0,17.386994212292166,217.2370860205868,0.3594994284687682,1.4229867844702164,0.1800680918470744,0.1671880144853531,0.3148043343148751,5.612869688210753,7.149483381898973,0.3740253824777715,0.0062704891607047,low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> deceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> acceleration -> possible_yielding -> acceleration -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> acceleration -> deceleration -> low_motion -> acceleration -> crossing_commitment -> deceleration -> low_motion -> acceleration -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> low_motion -> acceleration -> crossing_commitment -> deceleration -> crossing_commitment -> deceleration -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration,success,
2,12,PedNYC2_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario12\decoded_clean_PedNYC2_scenario12.csv,38.57666,pedestrian_movement_onset,13.473022,13.473022,5.0,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:0.371;acceleration:2.151;crossing:18.159;deceleration:8.545;post_motion:9.351,19.376221,5.0,5.737061,2.0,3.902466,9.0,14.309326000000002,0.8649899999999999,8.0,1.0,13.733215074998425,1908.5129437242515,0.1383907094988023,1.4790107292165573,0.1043858249702113,0.1289771324525419,0.5022783465442575,12.6058800490509,5.810057924988019,0.2522774144437413,0.0198812765411723,head_check -> low_motion -> acceleration -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> crossing_commitment -> deceleration -> low_motion,success,
2,15,PedNYC2_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario15\decoded_clean_PedNYC2_scenario15.csv,33.268555,pedestrian_movement_onset,0.0,0.0,4.0,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.163;acceleration:16.590;crossing:13.260;deceleration:3.257,11.309815999999996,8.0,9.106201000000006,3.0,3.534912,7.0,8.247070999999995,0.4672859999999943,7.0,0.0,18.5423428031118,593.4818346596074,0.4449561101051312,1.6779430736567265,0.1436077653683138,0.1684776771490199,0.3399551318053939,4.9220570696121575,7.063918465051958e-06,7.437302967860346e-05,0.0197459126548046,deceleration -> low_motion -> acceleration -> crossing_commitment -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> crossing_commitment -> deceleration -> acceleration -> low_motion -> acceleration -> low_motion,success,
