scenario_number,subsequence,length,recordings,prevalence
3,deceleration -> low_motion,2,21,0.8076923076923077
3,crossing_commitment -> acceleration,2,26,1.0
3,crossing_commitment -> deceleration,2,25,0.9615384615384616
3,deceleration -> acceleration,2,14,0.5384615384615384
3,crossing_commitment -> possible_yielding,2,20,0.7692307692307693
3,low_motion -> acceleration,2,26,1.0
3,acceleration -> possible_yielding,2,11,0.4230769230769231
3,possible_yielding -> crossing_commitment,2,15,0.5769230769230769
3,acceleration -> crossing_commitment,2,26,1.0
3,acceleration -> possible_yielding -> crossing_commitment,3,7,0.2692307692307692
3,crossing_commitment -> acceleration -> possible_yielding,3,7,0.2692307692307692
3,crossing_commitment -> deceleration -> low_motion,3,18,0.6923076923076923
3,deceleration -> acceleration -> crossing_commitment,3,9,0.34615384615384615
3,crossing_commitment -> acceleration -> crossing_commitment,3,23,0.8846153846153846
3,acceleration -> crossing_commitment -> acceleration,3,24,0.9230769230769231
3,crossing_commitment -> possible_yielding -> crossing_commitment,3,12,0.46153846153846156
3,crossing_commitment -> deceleration -> acceleration,3,12,0.46153846153846156
3,low_motion -> acceleration -> crossing_commitment,3,24,0.9230769230769231
3,acceleration -> crossing_commitment -> deceleration,3,18,0.6923076923076923
3,possible_yielding -> crossing_commitment -> deceleration,3,6,0.23076923076923078
3,possible_yielding -> crossing_commitment -> possible_yielding,3,8,0.3076923076923077
3,acceleration -> possible_hesitation,2,3,0.11538461538461539
3,acceleration -> deceleration,2,13,0.5
3,acceleration -> head_check,2,10,0.38461538461538464
3,head_check -> crossing_commitment,2,7,0.2692307692307692
3,head_check -> acceleration,2,9,0.34615384615384615
3,crossing_commitment -> head_check,2,5,0.19230769230769232
3,acceleration -> low_motion,2,13,0.5
3,possible_hesitation -> low_motion,2,5,0.19230769230769232
3,deceleration -> crossing_commitment,2,18,0.6923076923076923
3,low_motion -> possible_hesitation,2,7,0.2692307692307692
3,low_motion -> head_check,2,10,0.38461538461538464
3,acceleration -> low_motion -> head_check,3,3,0.11538461538461539
3,crossing_commitment -> head_check -> crossing_commitment,3,4,0.15384615384615385
3,crossing_commitment -> acceleration -> possible_hesitation,3,1,0.038461538461538464
3,deceleration -> acceleration -> deceleration,3,5,0.19230769230769232
3,acceleration -> head_check -> acceleration,3,6,0.23076923076923078
3,possible_yielding -> crossing_commitment -> acceleration,3,7,0.2692307692307692
3,acceleration -> crossing_commitment -> head_check,3,5,0.19230769230769232
