event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,0.904785,low_motion,0.904785,0.9,4,21
1,0.904785,1.471924,acceleration,0.5671390000000001,0.8,4,21
2,1.471924,12.444336,low_motion,10.972412,0.9,4,21
3,12.009033,15.436768,acceleration,3.427735,0.8,4,21
4,14.978271,15.926758,crossing_commitment,0.9484870000000001,0.78,4,21
5,15.484619,16.404541,acceleration,0.9199219999999979,0.8,4,21
6,15.974121,17.93457,crossing_commitment,1.9604490000000006,0.78,4,21
7,17.506592,18.416504,acceleration,0.9099119999999985,0.8,4,21
8,17.982422,18.903076,deceleration,0.920653999999999,0.8,4,21
9,18.516357,19.434814,crossing_commitment,0.9184570000000001,0.78,4,21
10,18.993652,19.920898,acceleration,0.9272460000000002,0.8,4,21
11,19.477295,21.410645,crossing_commitment,1.9333499999999972,0.78,4,21
12,21.0,23.408203,possible_yielding,2.4082030000000003,0.85,4,21
13,22.980713,23.931152,crossing_commitment,0.9504389999999994,0.78,4,21
14,23.49585,24.926758,acceleration,1.4309079999999987,0.8,4,21
15,24.509033,25.437988,crossing_commitment,0.928955000000002,0.78,4,21
16,24.973877,25.905762,possible_yielding,0.9318849999999976,0.85,4,21
17,25.484131,28.693359,crossing_commitment,3.2092279999999995,0.78,4,21
18,28.318848,29.163818,acceleration,0.84497,0.8,4,21
19,28.833252,29.676025,crossing_commitment,0.8427729999999976,0.78,4,21
20,29.349854,30.193604,acceleration,0.84375,0.8,4,21
21,29.814697,30.674561,crossing_commitment,0.8598640000000017,0.78,4,21
22,30.331543,40.877197,possible_yielding,10.545654000000003,0.85,4,21
23,40.451904,48.844727,low_motion,8.392823,0.9,4,21
