random_seed,pednyc_number,scenario_number,source_decoded_csv_path,recording_identifier,processing_status,failure_reason
42,1,3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario3\decoded_clean_PedNYC1_scenario3.csv,PedNYC1_scenario3,success,
42,1,7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario7\decoded_clean_PedNYC1_scenario7.csv,PedNYC1_scenario7,success,
42,1,12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario12\decoded_clean_PedNYC1_scenario12.csv,PedNYC1_scenario12,success,
42,1,15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario15\decoded_clean_PedNYC1_scenario15.csv,PedNYC1_scenario15,success,
42,1,16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario16\decoded_clean_PedNYC1_scenario16.csv,PedNYC1_scenario16,success,
42,1,21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario21\decoded_clean_PedNYC1_scenario21.csv,PedNYC1_scenario21,success,
42,4,3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario3\decoded_clean_PedNYC4_scenario3.csv,PedNYC4_scenario3,success,
42,4,7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario7\decoded_clean_PedNYC4_scenario7.csv,PedNYC4_scenario7,success,
42,4,12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario12\decoded_clean_PedNYC4_scenario12.csv,PedNYC4_scenario12,success,
42,4,15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario15\decoded_clean_PedNYC4_scenario15.csv,PedNYC4_scenario15,success,
42,4,16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario16\decoded_clean_PedNYC4_scenario16.csv,PedNYC4_scenario16,success,
42,4,21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario21\decoded_clean_PedNYC4_scenario21.csv,PedNYC4_scenario21,success,
42,9,3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc9\scenario3\decoded_clean_PedNYC9_scenario3.csv,PedNYC9_scenario3,success,
42,9,7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc9\scenario7\decoded_clean_PedNYC9_scenario7.csv,PedNYC9_scenario7,success,
42,9,12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc9\scenario12\decoded_clean_PedNYC9_scenario12.csv,PedNYC9_scenario12,success,
42,9,15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc9\scenario15\decoded_clean_PedNYC9_scenario15.csv,PedNYC9_scenario15,success,
42,9,16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc9\scenario16\decoded_clean_PedNYC9_scenario16.csv,PedNYC9_scenario16,success,
42,9,21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc9\scenario21\decoded_clean_PedNYC9_scenario21.csv,PedNYC9_scenario21,success,
42,22,3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario3\decoded_clean_PedNYC22_scenario3.csv,PedNYC22_scenario3,success,
42,22,7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario7\decoded_clean_PedNYC22_scenario7.csv,PedNYC22_scenario7,success,
42,22,12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario12\decoded_clean_PedNYC22_scenario12.csv,PedNYC22_scenario12,success,
42,22,15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario15\decoded_clean_PedNYC22_scenario15.csv,PedNYC22_scenario15,success,
42,22,16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario16\decoded_clean_PedNYC22_scenario16.csv,PedNYC22_scenario16,success,
42,22,21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc22\scenario21\decoded_clean_PedNYC22_scenario21.csv,PedNYC22_scenario21,success,
42,25,3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario3\decoded_clean_PedNYC25_scenario3.csv,PedNYC25_scenario3,success,
42,25,7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario7\decoded_clean_PedNYC25_scenario7.csv,PedNYC25_scenario7,success,
42,25,15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario15\decoded_clean_PedNYC25_scenario15.csv,PedNYC25_scenario15,success,
42,25,16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario16\decoded_clean_PedNYC25_scenario16.csv,PedNYC25_scenario16,success,
42,25,21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc25\scenario21\decoded_clean_PedNYC25_scenario21.csv,PedNYC25_scenario21,success,
