pednyc_number,scenario_number,recording_identifier,source_decoded_csv_path,recording_duration,alignment_event,original_alignment_time,movement_onset_time,number_macro_segments,macro_phase_sequence,macro_phase_durations,total_low_motion_duration,acceleration_event_count,acceleration_event_duration,deceleration_event_count,deceleration_event_duration,pause_count,total_pause_duration,median_pause_duration,stop_start_count,head_rotation_event_count,median_pedestrian_speed,peak_pedestrian_speed,event_sequence,processing_status,quality_warnings
1,3,PedNYC1_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario3\decoded_clean_PedNYC1_scenario3.csv,31.00293,pedestrian_movement_onset,8.679199,8.679199,5,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:1.246;acceleration:2.055;crossing:12.301;deceleration:9.016;post_motion:6.385,11.177976999999998,7,8.269774999999997,2,1.3532720000000005,5,7.983886999999998,1.941650000000001,3,0,0.3547162903075639,1.64105413059329,low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> low_motion,success,
1,7,PedNYC1_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario7\decoded_clean_PedNYC1_scenario7.csv,41.770508,pedestrian_movement_onset,1.489258,1.489258,5,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:0.256;acceleration:1.331;crossing:20.071;deceleration:8.141;post_motion:11.973,20.593505,4,6.667724999999999,4,3.6337899999999976,6,18.699218999999996,1.4617919999999995,4,3,0.12268871179839826,1.7241040266893024,head_check -> low_motion -> head_check -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> deceleration -> crossing_commitment -> acceleration -> deceleration -> crossing_commitment -> deceleration -> crossing_commitment -> deceleration -> crossing_commitment -> low_motion -> head_check -> low_motion -> possible_yielding -> low_motion,success,
1,12,PedNYC1_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario12\decoded_clean_PedNYC1_scenario12.csv,27.435059,pedestrian_movement_onset,11.594727,11.594727,4,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.352;acceleration:14.711;crossing:9.401;deceleration:2.972,13.519532,4,5.858154000000001,2,3.282226999999999,7,11.667236999999997,1.3317869999999985,6,2,0.13003784054268358,1.6169161040016957,head_check -> low_motion -> head_check -> acceleration -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> low_motion,success,
1,15,PedNYC1_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario15\decoded_clean_PedNYC1_scenario15.csv,45.156738,pedestrian_movement_onset,0.465332,0.465332,4,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.680;acceleration:24.612;crossing:4.675;deceleration:15.190,25.138428,4,9.322267000000004,2,3.405027999999998,8,23.08398299999999,2.8709714999999982,6,1,0.08464072086965764,1.6615809185910058,head_check -> low_motion -> acceleration -> crossing_commitment -> acceleration -> deceleration -> crossing_commitment -> deceleration -> crossing_commitment -> low_motion -> acceleration -> possible_yielding -> acceleration -> possible_yielding -> low_motion,success,
1,16,PedNYC1_scenario16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario16\decoded_clean_PedNYC1_scenario16.csv,32.949463,pedestrian_movement_onset,0.312256,0.312256,4,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.573;acceleration:19.261;crossing:5.017;deceleration:8.097,21.428712,4,4.706543000000001,2,2.422608000000001,8,19.127686,1.6157225000000004,7,0,0.08125513720281288,1.6836638580434582,acceleration -> deceleration -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> possible_yielding -> crossing_commitment -> deceleration -> low_motion,success,
1,21,PedNYC1_scenario21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario21\decoded_clean_PedNYC1_scenario21.csv,45.867737,pedestrian_movement_onset,11.938721,11.938721,5,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:7.461;acceleration:1.646;crossing:14.891;deceleration:5.234;post_motion:16.635,28.076966,4,4.785598999999996,2,3.302153999999998,5,26.256486,6.097442999999998,3,1,0.0612216808472765,1.3993939858930178,low_motion -> head_check -> low_motion -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> possible_yielding -> deceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> possible_yielding -> low_motion,success,
4,3,PedNYC4_scenario3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario3\decoded_clean_PedNYC4_scenario3.csv,42.399216,pedestrian_movement_onset,12.834869,12.834869,5,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:0.760;acceleration:0.586;crossing:19.993;deceleration:14.639;post_motion:6.422,18.111527000000002,5,8.833114000000002,3,2.996215999999997,6,16.229919000000002,1.2223509999999993,4,0,0.530242349292863,1.6522181412920545,low_motion -> acceleration -> low_motion -> acceleration -> crossing_commitment -> deceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> acceleration -> possible_yielding -> crossing_commitment -> possible_yielding -> crossing_commitment -> deceleration -> low_motion,success,
4,7,PedNYC4_scenario7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario7\decoded_clean_PedNYC4_scenario7.csv,30.212891,pedestrian_movement_onset,0.040833,0.040833,5,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:0.975;acceleration:0.737;crossing:21.564;deceleration:5.576;post_motion:1.361,5.922575999999998,4,4.833497000000002,1,2.0367130000000024,4,5.0496219999999985,0.8062289999999994,3,2,0.8584518233574087,1.1166213313210838,head_check -> low_motion -> head_check -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> possible_yielding -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> low_motion,success,
4,12,PedNYC4_scenario12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario12\decoded_clean_PedNYC4_scenario12.csv,25.36322,pedestrian_movement_onset,10.530273,10.530273,4,low_motion -> acceleration -> crossing -> deceleration,low_motion:0.656;acceleration:13.714;crossing:8.671;deceleration:2.321,11.671019999999999,4,5.227357000000001,2,2.52478,5,8.364562,1.2920540000000003,3,1,0.1823560492715834,1.4235574234332606,head_check -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> acceleration -> deceleration -> crossing_commitment -> deceleration -> low_motion,success,
4,15,PedNYC4_scenario15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc4\scenario15\decoded_clean_PedNYC4_scenario15.csv,42.365845,pedestrian_movement_onset,10.267029,10.267029,5,low_motion -> acceleration -> crossing -> deceleration -> post_motion,low_motion:0.108;acceleration:0.672;crossing:19.397;deceleration:3.199;post_motion:18.990,19.191406,5,6.892700000000004,3,3.5134879999999953,3,17.800720000000005,7.565734999999999,2,0,0.2546106348231518,1.2898142628402047,acceleration -> possible_hesitation -> low_motion -> acceleration -> crossing_commitment -> acceleration -> crossing_commitment -> deceleration -> acceleration -> crossing_commitment -> deceleration -> low_motion -> possible_yielding -> low_motion -> acceleration -> crossing_commitment -> deceleration -> crossing_commitment,success,
