recording_identifier,participant_id,scenario,source_path,row_count,alignment_event,alignment_time,ped_start_x,ped_start_z,ped_end_x,ped_end_z,veh_start_x,veh_start_z,veh_end_x,veh_end_z,ped_displacement,veh_displacement,ped_direction_deg,veh_direction_deg,ped_path_length,veh_path_length,duration,source_time_column,source_ped_x_column,source_ped_z_column,source_veh_x_column,source_veh_z_column,coordinate_transform,coordinate_unit
PedNYC1_scenario3,PedNYC1,3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario3\decoded_clean_PedNYC1_scenario3.csv,648,pedestrian_movement_onset,8.679199,12.73224639892578,67.0030746459961,10.917635917663574,50.46234893798828,84.68988800048828,58.00999450683594,5.614123344421387,87.50065612792969,16.63996448752993,84.39594586703517,-96.26063257233749,159.5474097056182,17.458135514016625,104.4129246369223,31.00293,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC1_scenario7,PedNYC1,7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario7\decoded_clean_PedNYC1_scenario7.csv,877,pedestrian_movement_onset,1.489258,-1.969866752624512,69.99896240234375,-1.6235666275024414,52.50555038452149,84.68990325927734,58.0099983215332,-41.16122055053711,57.87928771972656,17.496839366066883,125.85119168865533,-88.86591910423513,-179.9404918851614,19.070853206470634,125.86014648597629,41.770508,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC1_scenario12,PedNYC1,12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario12\decoded_clean_PedNYC1_scenario12.csv,620,pedestrian_movement_onset,11.594727,-5.150949954986572,45.7181396484375,-3.390844345092773,58.3529052734375,84.68988800048828,58.0099983215332,5.409273147583008,91.8024444580078,12.756773657812593,86.1820474770775,82.06936129346666,156.91443292187384,13.735039827563424,108.71465688162547,27.435059,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC1_scenario15,PedNYC1,15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario15\decoded_clean_PedNYC1_scenario15.csv,990,pedestrian_movement_onset,0.465332,-0.952939748764038,44.981666564941406,-2.688551425933838,60.7733154296875,-6.999914169311523,114.8000030517578,-44.163387298583984,57.89083862304688,15.886740438534417,67.96893945769797,96.27202978063052,-123.14579917468365,17.575496133539303,105.93958591464055,45.156738,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC1_scenario16,PedNYC1,16,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario16\decoded_clean_PedNYC1_scenario16.csv,702,pedestrian_movement_onset,0.312256,8.339301109313965,47.82242202758789,9.71278476715088,58.07334899902344,-5.899911880493164,114.6999969482422,2.6190340518951416,13.996408462524414,10.342531659707396,101.06327311986165,82.36860168662373,-85.16461808593354,11.62013077865609,106.78504353412846,32.949463,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC1_scenario21,PedNYC1,21,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc1\scenario21\decoded_clean_PedNYC1_scenario21.csv,902,pedestrian_movement_onset,11.938721,-1.9408376216888428,70.09803771972656,-2.484107732772827,53.50840377807617,-8.819924354553223,116.0,-37.41456604003906,58.406097412109375,16.598526944628425,64.30171963816177,-91.87562696307803,-116.40381513784753,18.139018763999655,102.63310781605857,45.867737,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC2_scenario3,PedNYC2,3,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario3\decoded_clean_PedNYC2_scenario3.csv,566,pedestrian_movement_onset,1.2146,12.717596054077148,67.1846694946289,10.155829429626465,53.3681526184082,84.68989562988281,58.0099983215332,-22.239057540893555,58.27510070800781,14.05200294723286,106.92928179630404,-100.50411570566543,179.85795038375778,15.717362749947451,106.94907666642258,26.343018,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC2_scenario7,PedNYC2,7,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario7\decoded_clean_PedNYC2_scenario7.csv,1066,pedestrian_movement_onset,8.811279,-1.603200912475586,70.33411407470703,-1.0029268264770508,51.39379119873047,84.68988800048828,58.0099983215332,-25.745513916015625,58.4752082824707,18.949832707033654,110.43638176238622,-88.18473721198747,179.75864252563434,25.58853735137194,110.44170444013305,50.100098,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC2_scenario12,PedNYC2,12,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario12\decoded_clean_PedNYC2_scenario12.csv,754,pedestrian_movement_onset,13.473022,-4.927761077880859,45.384910583496094,-4.105383396148682,60.99314880371094,84.68988800048828,58.00999450683594,2.8121047019958496,92.57989501953124,15.629888207865935,88.8765965782474,86.9839491150443,157.10987541776169,17.778018389583636,111.18963632775967,38.57666,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
PedNYC2_scenario15,PedNYC2,15,C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario15\decoded_clean_PedNYC2_scenario15.csv,724,pedestrian_movement_onset,0.0,-1.1021740436553955,45.04561996459961,-2.007615566253662,61.93274688720703,-6.999911785125732,114.8000030517578,2.526385545730591,8.132661819458008,16.91138315014764,107.09188590366576,93.06910408900188,-84.89654110288392,19.45823768122611,114.89252313863872,33.268555,scenariotime,b_vr_pos_x,b_vr_pos_z,a_car_pos_x,a_car_pos_z,none,Unity world units (treated as meters by existing pipeline)
