participant_id,recording_identifier,scenario,interaction_start_time,interaction_end_time,interaction_duration
PedNYC10,PedNYC10_scenario16,16,14.454468,19.874512,5.420043999999999
PedNYC11,PedNYC11_scenario16,16,11.572266,25.523682,13.951416
PedNYC12,PedNYC12_scenario16,16,13.993164,23.789795,9.796631000000001
PedNYC13,PedNYC13_scenario16,16,1.331421,30.753418,29.421997
PedNYC15,PedNYC15_scenario16,16,3.09082,29.135742,26.044922
PedNYC16,PedNYC16_scenario16_CSV_Scenario_Ped_16_Session_temp_2024_03_14_17_07_34_decoded,16,0.0,31.673828,31.673828
PedNYC16,PedNYC16_scenario16_CSV_Scenario_Ped_16_Session_temp_2024_03_14_17_08_25_decoded,16,16.924805,28.633423,11.708618000000001
PedNYC17,PedNYC17_scenario16,16,1.465332,23.309326,21.843994
PedNYC19,PedNYC19_scenario16,16,13.798584,24.631836,10.833252
PedNYC1,PedNYC1_scenario16,16,0.312256,32.109863,31.797606999999996
PedNYC20,PedNYC20_scenario16,16,14.08374,23.125732,9.041991999999999
PedNYC22,PedNYC22_scenario16,16,15.632446,28.007813,12.375366999999999
PedNYC23,PedNYC23_scenario16,16,12.507446,35.841675,23.334229
PedNYC24,PedNYC24_scenario16,16,3.554199,35.181763,31.627563999999996
PedNYC25,PedNYC25_scenario16,16,17.552734,34.261719,16.708985
PedNYC26,PedNYC26_scenario16,16,12.924316,28.925049,16.000733000000004
PedNYC28,PedNYC28_scenario16,16,15.925293,33.342041,17.416748000000002
PedNYC2,PedNYC2_scenario16,16,13.389648,23.749268,10.359620000000001
PedNYC30,PedNYC30_scenario16,16,1.666748,30.584961,28.918213
PedNYC3,PedNYC3_scenario16,16,5.563721,27.884277,22.320556
PedNYC4,PedNYC4_scenario16,16,12.437256,21.714111,9.276855
PedNYC5,PedNYC5_scenario16,16,17.057922,27.761078,10.703156
PedNYC7,PedNYC7_scenario16,16,0.985229,38.422363,37.437134
PedNYC8,PedNYC8_scenario16,16,3.348389,25.055176,21.706787
PedNYC9,PedNYC9_scenario16,16,11.091064,21.325928,10.234864000000002
